"","GAIN","AMPLI","LOSS","LOH"
"1p",100,0,0,0
"2p",100,0,0,0
"3p",0.27,0,0.3,0
"4p",76.72,0,0,0
"5p",70.64,0,0,0
"6p",52.36,0,0,0
"7p",58.99,0,0,0
"8p",54.35,0,0,0
"9p",59.92,0,0,0
"10p",100,0,0,0
"11p",76.82,0,0,0
"12p",88.9,0,0,0
"16p",53.17,0,0,11.64
"17p",100,0,0,0
"18p",100,0,0,0
"19p",35.93,0,0,0
"20p",91.68,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",54.47,0,0,12.34
"1q",64.3,0,0,0
"2q",100,0,0,1.82
"3q",0.09,0,0.27,0
"4q",16.71,0,0,0
"5q",26.33,0,0,0
"6q",66.08,0,0,0
"7q",52.87,0,0,0
"8q",48.69,0,2.12,0
"9q",72.97,0,0,0
"10q",60.62,0,0,0
"11q",41.92,0,0,0
"12q",76.56,0,0,0
"13q",34.61,0,0,0
"14q",92.36,0,0.15,0
"15q",0.31,0,0.39,3.48
"16q",57.44,0,0,0
"17q",76.64,0,0,0
"18q",53.78,0,0,0
"19q",66.9,0,0,0
"20q",100,0,0,0
"21q",0.64,0,1.43,0
"22q",1.08,0,0.12,0
"Yq",0,0,0,0
"Xq",100,0,0,5.68
