"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,98.99,0
"2p",0.21,0,0,0
"3p",0,0,15.95,0
"4p",0,0,97.46,0
"5p",94.54,0,0,0
"6p",0,0,100,0
"7p",0,0,92.9,0
"8p",0,0,19.62,0
"9p",0,0,82.95,0
"10p",0,0,100,0
"11p",0,0,1.87,100
"12p",0,0,99.7,0
"16p",0,0,91.04,0
"17p",0,0,100,0
"18p",0,0,0,0
"19p",0,0,74.78,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,98.51,0
"2q",0,0,0,0
"3q",0,0,17.49,0
"4q",0,0,99.9,0
"5q",99.92,0,0,0
"6q",0,0,100,0
"7q",0,0,44.37,0
"8q",0,0,1.22,0
"9q",0,0,0.62,0
"10q",0,0,100,0
"11q",0,0,96.37,0
"12q",0,0,99.95,0
"13q",0,0,99.96,0
"14q",0,0,98.88,0
"15q",0,0,97.72,0
"16q",0,0,98.79,0
"17q",0.66,0,21.19,0
"18q",0.5,0,1.41,0
"19q",0,0,99.96,0
"20q",5.55,0,0.91,0
"21q",0.77,0,0,0
"22q",2.41,0,0,0
"Yq",32.14,0,0,0
"Xq",0,0,0.29,0
