"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,26.95,3.58
"2p",0.68,0,1.02,7.11
"3p",8.63,0,0.13,3.74
"4p",7.42,0,0,0
"5p",0.7,0,1.21,0
"6p",0,0,3.47,9.17
"7p",0.6,0,0.97,6.33
"8p",23.65,0,3.36,0
"9p",3.15,0,25.08,0
"10p",50.79,0,4.45,0
"11p",0.27,0,0.89,7.17
"12p",1.61,0,14.25,7.41
"16p",67.79,0,16.65,0
"17p",0,0,16.38,0
"18p",0,0,20,0
"19p",4.75,0,26.44,0
"20p",0,0,5.37,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.24,0,6.56,4.54
"2q",0,0,2.37,3.99
"3q",0.34,0,0.44,2.69
"4q",0,0,3.97,2.83
"5q",0.64,0,4.02,3.03
"6q",0.93,0,4.92,4.2
"7q",6.89,0,5.5,2.89
"8q",7.22,0,0.24,4.03
"9q",2.59,0,1.05,7.81
"10q",5.12,0,6.5,0
"11q",0,0,1.6,3.27
"12q",7.22,0,2.21,0
"13q",0.68,0,9.17,3.99
"14q",2.32,0,0.73,4.8
"15q",3.84,0,2.47,7.85
"16q",43.17,0,6.82,0
"17q",2.4,0,11.63,0
"18q",2.1,0,3.45,5.25
"19q",0,0,28.82,0
"20q",1.11,0,13.01,0
"21q",5.35,0,3.74,0
"22q",0,0,10.99,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
