"","GAIN","AMPLI","LOSS","LOH"
"1p",3.3,0,0,0
"2p",61.77,0,0.29,0
"3p",0,0,0,100
"4p",54.7,0,0,0
"5p",27.88,0,0,0
"6p",4.99,0,0.56,5.59
"7p",1.46,0,0.49,0
"8p",45.92,0,0,64.63
"9p",71.85,0,0,24.74
"10p",10.49,0,53.24,0
"11p",1.91,0,0.09,0
"12p",3.12,0,0,0
"16p",41.95,0,0,9.97
"17p",99.89,0,0,47.34
"18p",48.34,0,0,0
"19p",23.62,0,0.45,0
"20p",33.29,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",95.68,0,0,0
"1q",54.83,0,0,0
"2q",12.03,0,0.32,0
"3q",38.31,0,0,0
"4q",74.06,0,0,0
"5q",7.99,0,0,33.72
"6q",53.83,0,0,42
"7q",4.7,0,4.39,28.47
"8q",0,0,0,0
"9q",53.55,0,0,40.36
"10q",65.46,0,0,0
"11q",42.04,0,0,0
"12q",46.74,0,0,0
"13q",63.33,0,0,74.2
"14q",33.94,0,0,0
"15q",39.1,0,0,23.12
"16q",79.99,0,0,6.25
"17q",21.27,0,0,4.76
"18q",46.45,0,0,0
"19q",75.76,0,0,0
"20q",21.15,0,0,0
"21q",0,0,1.53,0
"22q",40.17,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
