"","GAIN","AMPLI","LOSS","LOH"
"1p",40.1,0,59.86,40.32
"2p",0,0,55.62,0
"3p",0,0,0,3.33
"4p",96.67,0,0,0
"5p",97.33,0,0,0
"6p",0,0,49.2,0
"7p",97,0,0,0
"8p",0,0,89.23,0
"9p",54.41,0,0,17.31
"10p",0,0,100,0
"11p",12.77,0,53.06,0
"12p",0,0,0,0
"16p",0.92,0,7.57,0
"17p",0,0,0,99.89
"18p",54.5,0,0,0
"19p",0,0,0,0
"20p",45.74,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",92.76,0,0,0
"1q",58.31,0,1.71,2.83
"2q",0,0,0.43,0
"3q",0.08,0,11.72,12.08
"4q",65.27,0,0,0
"5q",55.53,0,0,0
"6q",0,0,0,0
"7q",95.14,0,0,0
"8q",0,0,47.06,0
"9q",99.98,0,0,0
"10q",0.17,0,92.67,0
"11q",0.41,0,0,0
"12q",0.48,0,0,0
"13q",0,0,80.73,0
"14q",53.67,0,0,0
"15q",0,0,58.38,0
"16q",0,0,100,0
"17q",0,0,0,4.76
"18q",99.99,0,0,0
"19q",0,0,0,0
"20q",2.82,0,0,0
"21q",5.36,0,0.81,0
"22q",8.12,0,0.22,0
"Yq",0,0,0,0
"Xq",35.45,0,0,6.8
