"","GAIN","AMPLI","LOSS","LOH"
"1p",40.1,0,59.86,40.32
"2p",0,0,87.59,0
"3p",0,0,0,3.33
"4p",99.97,0,0,0
"5p",99.93,0,0,0
"6p",0,0,65.7,0
"7p",99.97,0,0,0
"8p",0,0,99.58,0
"9p",99.94,0,0,24.58
"10p",0,0,100,0
"11p",16.44,0,54.32,0
"12p",0,0,0,0
"16p",1.18,0,7.57,0
"17p",0,0,0,99.89
"18p",95.53,0,0,0
"19p",0,0,0,0
"20p",53.88,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",99.91,0,0,0
"1q",97.28,0,1.71,2.83
"2q",0,0,0.73,0
"3q",0.08,0,16.25,12.08
"4q",99.91,0,0,0
"5q",99,0,0,0
"6q",0,0,0,0
"7q",99.98,0,0,0
"8q",0,0,99.18,0
"9q",99.98,0,0,0
"10q",0.17,0,97.57,0
"11q",0.79,0,0,0
"12q",0.48,0,0,0
"13q",0,0,99.86,0
"14q",98.82,0,0,0
"15q",0,0,99.76,0
"16q",0,0,100,0
"17q",0,0,0,4.76
"18q",99.99,0,0,0
"19q",0,0,0,0
"20q",2.82,0,0,0
"21q",10.58,0,0.81,0
"22q",15.47,0,0.22,0
"Yq",0,0,0,0
"Xq",99.93,0,0,9.64
