"","GAIN","AMPLI","LOSS","LOH"
"1p",30.74,0,0,0
"2p",78.65,0,0,0
"3p",40.45,0,8.7,37.95
"4p",41.67,0,2.36,13.04
"5p",6.7,0,0,53.65
"6p",45.24,0,0,0
"7p",12.7,0,0,0
"8p",0,0,56.19,26.02
"9p",24.34,0,0,0
"10p",0,0,21.2,100
"11p",13.45,0,0,86.97
"12p",17.52,0,0,82.24
"16p",37.31,0,0,7.16
"17p",4.46,0,0,99.89
"18p",53.47,0,0,0
"19p",19.57,0,0,100
"20p",7.87,0,1.95,0
"21p",85.12,0,0,0
"Yp",99.93,0,0,0
"Xp",26.89,0,0,0
"1q",91.02,0,0,94.42
"2q",14.93,0,0.59,0
"3q",21.54,0,0,0
"4q",23.96,0,0,52.73
"5q",32.05,0,0,84.1
"6q",14.39,0,0,30.03
"7q",36.42,0,11.27,11.86
"8q",5.84,0,19.78,56.35
"9q",7.28,0,0,96.12
"10q",0,0,8.04,99.99
"11q",58.31,0,0,42.04
"12q",93.72,0,0,0
"13q",37.02,0,0,0
"14q",47.2,0,1.77,50.51
"15q",28.09,0,0,0
"16q",47.94,0,0,0
"17q",76.89,0,0,0
"18q",17.58,0,80.02,0
"19q",34.9,0,0,0
"20q",34.15,0,1.11,40.81
"21q",100,0,0,0
"22q",21.15,0,0.71,0
"Yq",100,0,0,0
"Xq",99.69,0,0,0
