"","GAIN","AMPLI","LOSS","LOH"
"1p",43.79,0,0.25,2.4
"2p",59.09,0,0,0
"3p",30.27,0,1.71,100
"4p",71.13,0,0,6.07
"5p",43.66,0,0,0
"6p",0,0,36.86,0
"7p",65.46,0,0,0
"8p",0,0,64.62,0
"9p",100,0,0,0
"10p",52.07,0,0,0
"11p",25.52,0,73.2,0
"12p",97.45,0,0,0
"16p",65.31,0,3.05,11.69
"17p",100,0,0,15.06
"18p",0,0,100,0
"19p",47.37,0,0,0
"20p",100,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",61.41,0,0,0
"1q",45.65,0,0,2.58
"2q",28.03,0,0,0
"3q",19.16,0,9.8,100
"4q",28.87,0,0,0
"5q",96.77,0,0,0
"6q",0,0,100,0
"7q",49.6,0,0,4.37
"8q",38.39,0,0.04,0
"9q",45.8,0,0,0
"10q",36.66,0,0,0
"11q",4.3,0,75.55,6.2
"12q",27.64,0,0,0
"13q",15.7,0,0,0
"14q",37.85,0,30.87,0
"15q",16.96,0,41.15,4.15
"16q",5.86,0,24.33,0
"17q",61.78,0,0,0
"18q",0,0,99.29,0
"19q",65.31,0,0,0
"20q",46.32,0,0,0
"21q",0,0,99.68,0
"22q",0,0,0.12,0
"Yq",0,0,0,0
"Xq",54.37,0,0,3.48
