"","GAIN","AMPLI","LOSS","LOH"
"1p",0.22,0,0.04,99.93
"2p",77.67,0,0,34.55
"3p",1.49,0,1.29,99.45
"4p",99.92,0,0,0
"5p",99.21,0,0,0
"6p",97.86,0,0,0
"7p",80.81,0,0,79.35
"8p",9.6,0,34.17,50.51
"9p",99.99,0,0,31.42
"10p",0,0,77.03,0
"11p",83.83,0,0,20.95
"12p",99,0,0,0
"16p",100,0,0,0
"17p",0,0,90.71,0
"18p",10.76,0,1.76,0
"19p",97.22,0,0,0
"20p",1.48,0,2.69,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",98.55,0,0,0
"1q",3.08,0,0,0
"2q",99.65,0,0,1.7
"3q",0,0,0,0
"4q",71.56,0,0,28.3
"5q",99.59,0,0,0
"6q",92.82,0,0,5.8
"7q",98.77,0,0,5.25
"8q",98.9,0,0.02,0
"9q",98.49,0,0,63.75
"10q",0,0,1.21,0
"11q",40.61,0,0,55.01
"12q",99.38,0,0,0
"13q",39.93,0,13.26,46.91
"14q",4.52,0,1.51,84.99
"15q",96.03,0,0,0
"16q",99.2,0,0,0
"17q",0.17,0,0,0
"18q",0,0,1.07,0
"19q",0,0,0.28,99.97
"20q",83.67,0,0,0
"21q",0,0,0,100
"22q",99.87,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
