"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,2.14
"2p",0,0,0,0
"3p",0.29,0,0,0
"4p",0,0,0,0
"5p",0,0,0,6.77
"6p",0,0,0,4.36
"7p",0,0,0,0
"8p",0,0,0,0
"9p",0,0,0,30.43
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,9.79
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,0
"2q",0,0,0,1.97
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,0,5.65
"6q",0,0,0,11.61
"7q",0.01,0,0,2.55
"8q",28.28,0,0,0
"9q",0,0,0,0
"10q",0,0,0,0
"11q",0,0,0,0
"12q",0,0,0,0
"13q",0.23,0,0,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",0,0,0,37.98
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
