"","GAIN","AMPLI","LOSS","LOH"
"1p",15.18,0,83.39,0
"2p",0,0,0,0
"3p",0,0,98.19,0
"4p",0,0,0,0
"5p",99.94,0,0,0
"6p",0,0,36.07,0
"7p",0,0,0,0
"8p",0,0,0.12,0
"9p",0,0,99.95,0
"10p",7.06,0,0,0
"11p",0,0,98.37,0
"12p",0,0,0,0
"16p",0,0,9.43,0
"17p",1.68,0,0.27,0
"18p",0,0,0,0
"19p",8.93,0,0,0
"20p",0,0,0.94,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",99.96,0,0,3.6
"2q",0,0,19.19,0
"3q",0.33,0,0,0
"4q",0,0,96.64,0
"5q",0,0,99.97,0
"6q",0,0,48.15,0
"7q",0,0,0,0
"8q",0.38,0,0,0
"9q",0,0,99.96,0
"10q",0,0,0.46,0
"11q",1.11,0,0,0
"12q",0.57,0,0,4.01
"13q",4.03,0,0,0
"14q",0,0,63.52,0
"15q",0,0,2.97,3.04
"16q",0,0,0,0
"17q",0.45,0,0,0
"18q",0.67,0,0.07,0
"19q",0,0,1.99,0
"20q",0.83,0,0,0
"21q",0,0,97.99,0
"22q",7.22,0,0.12,0
"Yq",0,0,0,0
"Xq",0,0,0,0
