"","GAIN","AMPLI","LOSS","LOH"
"1p",28.57,0,0.33,0
"2p",0,0,0,97.8
"3p",0,0,100,0
"4p",0,0,14.22,0
"5p",63.75,0,0,0
"6p",6.34,0,0.28,38.05
"7p",38.6,0,0.32,53.59
"8p",0,0,72.47,0
"9p",39.23,0,0.2,82.95
"10p",0,0,89.28,0
"11p",96.11,0,3.86,0
"12p",0.72,0,0,0
"16p",3.26,0,44.25,0
"17p",0,0,0.41,35.64
"18p",32.7,0,2.02,0
"19p",71.7,0,27.75,11.44
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",4.73,0,0.67,0
"2q",1.18,0,35.46,61.07
"3q",100,0,0,0
"4q",0,0,6.47,0
"5q",59.33,0,0.26,0
"6q",0.13,0,4.97,0
"7q",62.39,0,0,37.66
"8q",20.46,0,0,4.06
"9q",99.98,0,0,93.82
"10q",0.41,0,0,53.6
"11q",20.65,0,20.3,58.88
"12q",0,0,0,0
"13q",98.64,0,0,0
"14q",22.1,0,0,0
"15q",70.87,0,11.29,0
"16q",100,0,0,0
"17q",15.21,0,4.55,0
"18q",0.45,0,0,0
"19q",0.16,0,1.08,0
"20q",100,0,0,0
"21q",2.98,0,92.78,0
"22q",0,0,65.67,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
