"","GAIN","AMPLI","LOSS","LOH"
"1p",0.22,0,0.03,5.57
"2p",99.97,0,0,0
"3p",71.4,0,0,0
"4p",1.69,0,0,0
"5p",0,0,0.67,0
"6p",40.68,0,0.19,0
"7p",97.83,0,0,0
"8p",0,0,0.15,0
"9p",97.89,0,0,0
"10p",98.36,0,0,0
"11p",99.92,0,0,14.71
"12p",99.7,0,0,0
"16p",10.21,0,3.78,0
"17p",98.44,0,0,99.89
"18p",0,0,0,0
"19p",89.01,0,0,0
"20p",100,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",99.97,0,0,0
"1q",93.65,0,0,2.82
"2q",66.64,0,0.65,0
"3q",97.17,0,0,0
"4q",1.83,0,0,0
"5q",0,0,22.08,0
"6q",0,0,6.92,3.39
"7q",99.46,0,0,0
"8q",2,0,0,3.02
"9q",99.98,0,0,0
"10q",97.06,0,0,0
"11q",99.83,0,0,0
"12q",73.6,0,0,0
"13q",0,0,0,100
"14q",86.43,0,0,0
"15q",6.63,0,0,3.43
"16q",4.45,0,2.32,6.05
"17q",82.32,0,0,0
"18q",0.15,0,0,0
"19q",27.35,0,0,72.51
"20q",100,0,0,8.08
"21q",98.97,0,0,0
"22q",29.54,0,0,68.24
"Yq",0,0,0,0
"Xq",99.69,0,0,0
