"","GAIN","AMPLI","LOSS","LOH"
"1p",76.36,0,0,0
"2p",57.02,0,0,0
"3p",55.64,0,0.46,0
"4p",100,0,0,72.4
"5p",0,0,0,0
"6p",1.91,0,6.09,43.61
"7p",58.85,0,0,0
"8p",8.19,0,0,73.82
"9p",53.24,0,5.01,33.72
"10p",69.34,0,0,7.11
"11p",57.33,0,0,0
"12p",40.93,0,0,0
"16p",31.62,0,0,11.05
"17p",0,0,66.68,0
"18p",0,0,0,99.9
"19p",31.5,0,0,0
"20p",0,0,0,100
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",95.68,0,0,0
"1q",75.27,0,0,4.78
"2q",78.4,0,0,0
"3q",43.01,0,0,0
"4q",99.92,0,0,21.4
"5q",24.08,0,0,0
"6q",16.41,0,15.84,26.51
"7q",39.78,0,0,3.24
"8q",41.21,0,0,2.58
"9q",87.37,0,0,0
"10q",26.56,0,0,0
"11q",52.78,0,2.93,4.91
"12q",29.16,0,21.66,2.87
"13q",60.28,0,0,0
"14q",35.48,0,0.21,0
"15q",43.84,0,0,10.75
"16q",45.36,0,0.69,0
"17q",0.07,0,0,0
"18q",0,0,0,99.99
"19q",28.05,0,0,0
"20q",28.54,0,0,0
"21q",53.06,0,0,0
"22q",68.43,0,0,26.09
"Yq",0,0,0,0
"Xq",99.69,0,0,0
