"","GAIN","AMPLI","LOSS","LOH"
"1p",0.34,0,0,0
"2p",0,0,0,0
"3p",5.54,0,0,0
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,48.63,0
"7p",2.73,0,0,0
"8p",2.31,0,39.21,14.54
"9p",0,0,12.92,0
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,7.52
"17p",0,0,71.25,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",26.98,0,12.8,15.97
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,4.47
"1q",0,0,0,0
"2q",0.38,0,0,0
"3q",0,0,0,0
"4q",0.23,0,0,0
"5q",0,0,7.77,4.34
"6q",0,0,35.59,0
"7q",0.3,0,0,0
"8q",39.91,0,0,0
"9q",3.61,0,0,0
"10q",2.26,0,0,0
"11q",0,0,0,0
"12q",0,0,0,6.1
"13q",51.89,0,0,0
"14q",0,0,0,0
"15q",2.61,0,46.53,0
"16q",0.59,0,0,0
"17q",5.74,0,25.4,0
"18q",0,0,23.95,14.43
"19q",0.67,0,0,0
"20q",36.92,0,0,0
"21q",0,0,27.43,0
"22q",10.47,0,8.58,12.32
"Yq",0,0,0,0
"Xq",0.45,0,0,5.42
