"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,13.9,43.24
"2p",100,0,0,0
"3p",45.86,0,0,10.3
"4p",0,0,20.79,100
"5p",99.78,0,0,0
"6p",45.96,0,0,0
"7p",63.47,0,0,0
"8p",0,0,5.13,32.56
"9p",74.26,0,0,82.95
"10p",44.17,0,0,7.98
"11p",49.94,0,0,100
"12p",95.96,0,0,21.4
"16p",4.08,0,1.6,100
"17p",14.19,0,84.83,0
"18p",0,0,0,87.32
"19p",75.26,0,0,33.73
"20p",39.77,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,99.93,0
"Xp",76.54,0,0.18,0
"1q",53.72,0,0,0
"2q",60.51,0,0,0
"3q",100,0,0,0
"4q",0,0,0,99.92
"5q",0,0,1.55,43.57
"6q",33.56,0,40.33,0
"7q",62.88,0,0,0
"8q",0,0,3.01,7.05
"9q",53.24,0,0,96.12
"10q",37.86,0,0,0
"11q",10.79,0,0,100
"12q",50.93,0,0,29.01
"13q",48.2,0,0,100
"14q",53.6,0,0,98.92
"15q",0,0,76.38,0
"16q",58.27,0,40.33,23.32
"17q",22.63,0,0,0
"18q",0,0,17.11,66.54
"19q",31.84,0,0,0
"20q",37.42,0,0,0
"21q",26.65,0,0,0
"22q",25.47,0,0.14,0
"Yq",0,0,100,0
"Xq",73.63,0,0.51,0
