"","GAIN","AMPLI","LOSS","LOH"
"1p",32.18,0,1.64,12.76
"2p",100,0,0,18.82
"3p",1.93,0,91.03,0
"4p",0,0,64.6,0
"5p",99.94,0,0,0
"6p",2.21,0,56.22,0
"7p",0.24,0,99.75,0
"8p",5.49,0,94.14,0
"9p",0,0,100,0
"10p",28.09,0,2.9,0
"11p",0,0,59.13,0
"12p",97.78,0,0,0
"16p",15.03,0,65.93,0
"17p",1.27,0,46.41,0
"18p",100,0,0,0
"19p",0.95,0,1,0
"20p",39.1,0,2.96,9.9
"21p",0,0,85.12,0
"Yp",91.8,0,3.78,0
"Xp",4.3,0,0,0
"1q",13.87,0,1.34,0
"2q",22.26,0,0.85,0
"3q",85.99,0,0,0
"4q",17.52,0,78.94,0
"5q",5.01,0,61.31,33.37
"6q",100,0,0,0
"7q",32.4,0,47.7,0
"8q",76.07,0,0,0
"9q",0,0,68.02,0
"10q",0,0,56.32,0
"11q",78.86,0,0,0
"12q",53.73,0,0,0
"13q",0,0,100,0
"14q",35.71,0,0.23,0
"15q",25.98,0,0,0
"16q",42.77,0,13.31,68.13
"17q",12.1,0,24.92,66.43
"18q",2.95,0,97.01,0
"19q",9.01,0,0,0
"20q",6.41,0,5.92,72.56
"21q",0,0,100,0
"22q",46.95,0,0.12,0
"Yq",0,0,100,0
"Xq",4.83,0,0.26,0
