"","GAIN","AMPLI","LOSS","LOH"
"1p",2.45,0,0,0
"2p",17.4,0,2.63,0
"3p",0,0,0,0
"4p",1.83,0,1.49,0
"5p",3.27,0,0,0
"6p",0,0,1.76,14
"7p",3.68,0,0,0
"8p",0.83,0,0,0
"9p",0,0,0,0
"10p",0,0,6.24,0
"11p",12.43,0,0,5.67
"12p",1.13,0,0,0
"16p",9.59,0,17.78,9.59
"17p",0,0,11.03,0
"18p",0,0,0,0
"19p",8.68,0,47.53,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.3,0,0,0
"2q",3.32,0,0,0
"3q",2.2,0,0,0
"4q",0,0,0.34,0
"5q",4.09,0,0,2.53
"6q",0,0,25.28,0
"7q",4.29,0,7,2.64
"8q",7.99,0,0,0
"9q",10.16,0,0,0
"10q",9.37,0,0,0
"11q",6.28,0,0,0
"12q",0,0,0,0
"13q",8.96,0,3.11,0
"14q",6.95,0,0.52,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",2.45,0,7.13,0
"18q",5.49,0,0,0
"19q",0,0,47.75,0
"20q",11.98,0,0,0
"21q",1.15,0,0,0
"22q",5.71,0,0.91,0
"Yq",0,0,0,0
"Xq",0,0,0,0
