"","GAIN","AMPLI","LOSS","LOH"
"1p",12.23,0,0,0
"2p",36.08,0,31.69,0
"3p",18.91,0,73.72,0
"4p",75.55,0,0,0
"5p",0,0,99.94,0
"6p",0.55,0,0,0
"7p",0,0,86.04,0
"8p",17,0,31.3,0
"9p",12.24,0,56.02,0
"10p",27.75,0,8.83,0
"11p",0,0,98.02,0
"12p",6.17,0,86.06,87.94
"16p",0,0,39.87,39.87
"17p",0,0,12.29,99.89
"18p",0,0,94.76,0
"19p",16.94,0,16.95,18.22
"20p",0,0,96.5,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",30.95,0,0,0
"1q",4.5,0,86.36,0
"2q",15.66,0,3.65,3.77
"3q",0,0,0,2.88
"4q",0.3,0,27.9,0
"5q",0,0,70.82,7.35
"6q",0,0,0,0
"7q",80.58,0,0,0
"8q",12.03,0,0,2.84
"9q",0,0,0.5,0
"10q",1.36,0,40.3,0
"11q",7.72,0,24.13,5.6
"12q",0,0,0.51,0
"13q",23.21,0,21.99,0
"14q",0,0,30.62,0
"15q",68.8,0,30.97,0
"16q",0,0,49.99,0
"17q",0,0,26.6,0
"18q",0,0,17.35,88.2
"19q",10.54,0,2.87,0
"20q",0.9,0,0,0
"21q",0,0,0,0
"22q",10.25,0,0,0
"Yq",0,0,0,0
"Xq",94.52,0,0,0
