"","GAIN","AMPLI","LOSS","LOH"
"1p",0.34,0,0.78,0
"2p",77.53,0,0.36,0
"3p",4,0,1.36,5.8
"4p",0.13,0,3.23,0
"5p",0,0,0,0
"6p",0.23,0,2.37,10.8
"7p",0,0,26.55,0
"8p",0,0,0.17,0
"9p",0,0,0.14,0
"10p",0,0,0,16.66
"11p",2.36,0,0,5.08
"12p",6.95,0,0,0
"16p",0.38,0,0,0
"17p",0,0,0.19,13.52
"18p",0,0,1.95,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0.05,0
"1q",0.98,0,2.01,6.83
"2q",0.05,0,0.46,0
"3q",0,0,0,2.67
"4q",0.36,0,0,0
"5q",1.12,0,0.9,2.4
"6q",0,0,0,2.34
"7q",1.14,0,0,2.94
"8q",0.59,0,0.4,0
"9q",0.19,0,0,0
"10q",1.39,0,3.75,11.9
"11q",0,0,0,0
"12q",1.56,0,0.13,0
"13q",0,0,0,0
"14q",1.48,0,0.29,5.15
"15q",0.29,0,0,0
"16q",3.21,0,0.81,0
"17q",0.24,0,0,7.38
"18q",3.54,0,1.56,0
"19q",0,0,0.24,0
"20q",4.25,0,0,8.8
"21q",4.49,0,1.77,0
"22q",1.09,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
