"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,99.93
"2p",82.58,0,0,68.48
"3p",0,0,0,100
"4p",96.4,0,0,0
"5p",99.94,0,0,0
"6p",100,0,0,0
"7p",80.33,0,0,80.43
"8p",9.6,0,33.49,53.01
"9p",100,0,0,53.58
"10p",0,0,78.51,0
"11p",82.27,0,0,20.95
"12p",98.31,0,0,0
"16p",100,0,0,0
"17p",0,0,90.75,0
"18p",0,0,0,0
"19p",97.95,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",95.66,0,0,0
"1q",0,0,0,0
"2q",100,0,0,0
"3q",0,0,0,0
"4q",72,0,0,28.3
"5q",100,0,0,0
"6q",100,0,0,3.1
"7q",100,0,0,0
"8q",98.97,0,0,0
"9q",98.36,0,0,88.65
"10q",0,0,0,0
"11q",24.53,0,0,55.01
"12q",100,0,0,0
"13q",39.93,0,13.26,46.91
"14q",4.52,0,0,84.99
"15q",99.79,0,0,0
"16q",94.77,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,99.97
"20q",75.7,0,0,0
"21q",0,0,0,100
"22q",100,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
