"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,0
"2p",44.6,0,0,0
"3p",0.48,0,99.5,0
"4p",0,0,0,0
"5p",0,0,0,5.52
"6p",0,0,28.19,0
"7p",0,0,0,0
"8p",0,0,0,0
"9p",0,0,0,5.42
"10p",0,0,0,13.75
"11p",2.6,0,35.05,5.35
"12p",0,0,0,0
"16p",0,0,3.54,26.54
"17p",0,0,15.02,0
"18p",14.85,0,0,0
"19p",0,0,37.04,42.43
"20p",99.64,0,0.33,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",99.96,0,0,14.09
"1q",78.02,0,0,3.6
"2q",0,0,5.57,1.83
"3q",100,0,0,0
"4q",0,0,0,0
"5q",0,0,0,4.9
"6q",0,0,0,2.4
"7q",0,0,0,0
"8q",46.38,0,0,0
"9q",0,0,0,0
"10q",0,0,0.11,3.35
"11q",0,0,0,0
"12q",1.23,0,0.23,2.84
"13q",22.57,0,47.6,0
"14q",97.85,0,0,0
"15q",0,0,0,8.12
"16q",78.03,0,0,6.41
"17q",71.13,0,0.42,10.39
"18q",17.9,0,0,0
"19q",0,0,0,28.53
"20q",100,0,0,0
"21q",97.26,0,0,0
"22q",0.54,0,0,0
"Yq",0,0,0,0
"Xq",3.31,0,0,4.03
