"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0.35,0
"2p",0,0,0.31,0
"3p",0,0,0,0
"4p",0.18,0,0,0
"5p",0,0,0,0
"6p",0,0,0,7.25
"7p",0,0,0,0
"8p",20.1,0,0.6,0
"9p",0,0,0,0
"10p",0,0,0,0
"11p",0,0,0,0
"12p",99.7,0,0,0
"16p",0,0,0,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,1.85,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,0
"2q",0,0,0,0
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,0,0
"6q",0,0,0,0
"7q",0,0,0,0
"8q",0,0,0,2.58
"9q",0.33,0,0,0
"10q",0.16,0,0.44,0
"11q",0,0,0,0
"12q",100,0,0,0
"13q",0,0,0,0
"14q",0,0,0.75,0
"15q",0,0,3.59,0
"16q",2.6,0,0,0
"17q",0,0,0.32,0
"18q",0,0,0,0
"19q",1.71,0,0,0
"20q",0,0,0.24,0
"21q",0,0,0,0
"22q",0,0,0.52,0
"Yq",2.76,0,0,0
"Xq",0,0,0,0
