"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,18.66,0
"2p",1.65,0,2.94,0
"3p",0,0,0,0
"4p",0,0,0,6.14
"5p",0.1,0,0,0
"6p",0,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0,0,0,0
"10p",0,0,0.57,0
"11p",0,0,0.61,0
"12p",0,0,0,0
"16p",4.87,0,7.57,0
"17p",2.3,0,95.2,0
"18p",0,0,0,0
"19p",62.43,0,37.34,0
"20p",0,0,1.98,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",0.83,0,0,9.29
"1q",0,0,2.29,0
"2q",1.28,0,0.09,0
"3q",0.17,0,0,0
"4q",0,0,0,0
"5q",0,0,32.8,0
"6q",0.06,0,23.55,0
"7q",99.8,0,0,0
"8q",0,0,0.28,0
"9q",0.16,0,0,0
"10q",0,0,0,2.91
"11q",6.46,0,79.84,0
"12q",0,0,0.34,0
"13q",0.97,0,3.98,0
"14q",0.1,0,1.31,0
"15q",0,0,16.58,0
"16q",0,0,1.22,0
"17q",0,0,0,0
"18q",0.2,0,0.44,0
"19q",96.6,0,0,0
"20q",2.28,0,0.16,0
"21q",98.68,0,1.23,0
"22q",0.46,0,0.85,0
"Yq",0,0,0,0
"Xq",7.56,0,0,7.96
