"","GAIN","AMPLI","LOSS","LOH"
"1p",32.15,0,0,12.76
"2p",100,0,0,18.82
"3p",0,0,91.03,0
"4p",0,0,61.96,0
"5p",99.94,0,0,0
"6p",0,0,56.22,0
"7p",0,0,99.75,0
"8p",0,0,60.61,0
"9p",0,0,100,0
"10p",17.68,0,0,0
"11p",0,0,56.21,0
"12p",97.69,0,0,0
"16p",15.03,0,65.93,0
"17p",0,0,46.41,0
"18p",100,0,0,0
"19p",0,0,0,0
"20p",36.62,0,0,0
"21p",0,0,0,0
"Yp",91.8,0,0,0
"Xp",0,0,0,0
"1q",12.88,0,0,0
"2q",22.26,0,0,0
"3q",61.55,0,0,0
"4q",14.4,0,78.94,0
"5q",2.66,0,61.31,33.37
"6q",100,0,0,0
"7q",32.4,0,47.7,0
"8q",34.05,0,0,0
"9q",0,0,68.02,0
"10q",0,0,56.32,0
"11q",70.97,0,0,0
"12q",45.25,0,0,0
"13q",0,0,98.2,0
"14q",35.4,0,0,0
"15q",25.98,0,0,0
"16q",42.77,0,13.31,68.13
"17q",12.1,0,22.75,66.43
"18q",0,0,97.01,0
"19q",0,0,0,0
"20q",0,0,0,72.56
"21q",0,0,92.9,0
"22q",46.95,0,0,0
"Yq",0,0,100,0
"Xq",4.83,0,0,0
