"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,0
"2p",0,0,0,97.8
"3p",0,0,100,0
"4p",0,0,0,0
"5p",63.75,0,0,0
"6p",0,0,0,38.05
"7p",38.6,0,0,53.59
"8p",0,0,72.47,0
"9p",39.23,0,0,82.95
"10p",0,0,89.28,0
"11p",61.64,0,0,0
"12p",0,0,0,0
"16p",0,0,0,0
"17p",0,0,0,35.64
"18p",0,0,0,0
"19p",0,0,27.75,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,0
"2q",0,0,35.46,61.07
"3q",100,0,0,0
"4q",0,0,0,0
"5q",59.33,0,0,0
"6q",0,0,0,0
"7q",62.39,0,0,37.66
"8q",3.57,0,0,4.06
"9q",80.01,0,0,30.03
"10q",0,0,0,53.6
"11q",12.79,0,20.3,58.88
"12q",0,0,0,0
"13q",46.97,0,0,0
"14q",0,0,0,0
"15q",19.59,0,11.29,0
"16q",100,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",100,0,0,0
"21q",0,0,69.96,0
"22q",0,0,51.18,0
"Yq",0,0,0,0
"Xq",0,0,0,0
