sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
B09006591	1	p	0	0	0
B09006591	2	p	0	0	3
B09006591	3	p	0	0	0
B09006591	4	p	0	0	0
B09006591	5	p	0	0	0
B09006591	6	p	0	0	0
B09006591	7	p	0	0	0
B09006591	8	p	0	0	0
B09006591	9	p	0	0	0
B09006591	10	p	0	0	0
B09006591	11	p	0	0	0
B09006591	12	p	0	0	0
B09006591	16	p	0	0	9
B09006591	17	p	0	0	0
B09006591	18	p	0	0	0
B09006591	19	p	0	0	0
B09006591	20	p	0	0	0
B09006591	21	p	0	0	0
B09006591	Y	p	0	0	0
B09006591	X	p	0	0	5
B09006591	1	q	0	0	0
B09006591	2	q	0	0	0
B09006591	3	q	0	0	0
B09006591	4	q	0	0	0
B09006591	5	q	0	0	0
B09006591	6	q	0	0	0
B09006591	7	q	0	0	0
B09006591	8	q	0	0	0
B09006591	9	q	0	0	0
B09006591	10	q	0	0	0
B09006591	11	q	0	0	0
B09006591	12	q	0	0	0
B09006591	13	q	0	0	0
B09006591	14	q	0	0	0
B09006591	15	q	0	0	0
B09006591	16	q	0	0	0
B09006591	17	q	0	0	5
B09006591	18	q	0	0	0
B09006591	19	q	0	0	0
B09006591	20	q	0	0	0
B09006591	21	q	0	0	0
B09006591	22	q	0	0	0
B09006591	Y	q	0	0	0
B09006591	X	q	0	0	9
B09009971	1	p	0	0	0
B09009971	2	p	0	0	0
B09009971	3	p	3	0	3
B09009971	4	p	0	0	5
B09009971	5	p	0	0	0
B09009971	6	p	0	0	0
B09009971	7	p	95	0	0
B09009971	8	p	99	0	0
B09009971	9	p	99	0	0
B09009971	10	p	0	0	0
B09009971	11	p	0	4	99
B09009971	12	p	98	0	0
B09009971	16	p	90	0	0
B09009971	17	p	99	0	0
B09009971	18	p	99	0	0
B09009971	19	p	99	0	0
B09009971	20	p	99	0	0
B09009971	21	p	0	0	0
B09009971	Y	p	0	0	0
B09009971	X	p	0	4	0
B09009971	1	q	0	0	0
B09009971	2	q	0	0	0
B09009971	3	q	0	0	0
B09009971	4	q	0	0	0
B09009971	5	q	0	6	0
B09009971	6	q	0	0	0
B09009971	7	q	99	0	2
B09009971	8	q	99	0	0
B09009971	9	q	99	0	0
B09009971	10	q	0	0	0
B09009971	11	q	0	1	99
B09009971	12	q	99	0	0
B09009971	13	q	99	0	0
B09009971	14	q	0	0	0
B09009971	15	q	0	1	0
B09009971	16	q	99	0	0
B09009971	17	q	98	0	0
B09009971	18	q	99	0	0
B09009971	19	q	96	0	0
B09009971	20	q	99	0	0
B09009971	21	q	1	0	0
B09009971	22	q	1	0	0
B09009971	Y	q	0	0	0
B09009971	X	q	0	0	0
B10.10002	1	p	99	0	0
B10.10002	2	p	99	0	0
B10.10002	3	p	0	1	0
B10.10002	4	p	99	0	0
B10.10002	5	p	99	0	0
B10.10002	6	p	99	0	0
B10.10002	7	p	99	0	0
B10.10002	8	p	99	0	0
B10.10002	9	p	99	0	0
B10.10002	10	p	99	0	0
B10.10002	11	p	99	0	0
B10.10002	12	p	99	0	0
B10.10002	16	p	94	0	11
B10.10002	17	p	99	0	0
B10.10002	18	p	99	0	0
B10.10002	19	p	96	0	0
B10.10002	20	p	98	0	0
B10.10002	21	p	0	85	0
B10.10002	Y	p	0	0	0
B10.10002	X	p	99	0	12
B10.10002	1	q	99	0	0
B10.10002	2	q	99	0	1
B10.10002	3	q	0	0	0
B10.10002	4	q	99	0	0
B10.10002	5	q	99	0	0
B10.10002	6	q	99	0	0
B10.10002	7	q	98	0	0
B10.10002	8	q	97	2	0
B10.10002	9	q	99	0	0
B10.10002	10	q	98	0	0
B10.10002	11	q	99	0	0
B10.10002	12	q	99	0	0
B10.10002	13	q	99	0	0
B10.10002	14	q	98	0	0
B10.10002	15	q	0	0	3
B10.10002	16	q	99	0	0
B10.10002	17	q	99	0	0
B10.10002	18	q	99	0	0
B10.10002	19	q	99	0	0
B10.10002	20	q	99	0	0
B10.10002	21	q	0	2	0
B10.10002	22	q	1	0	0
B10.10002	Y	q	0	0	0
B10.10002	X	q	99	0	13
B11.38796	1	p	0	0	0
B11.38796	2	p	99	0	0
B11.38796	3	p	0	0	0
B11.38796	4	p	98	0	0
B11.38796	5	p	0	0	0
B11.38796	6	p	99	0	0
B11.38796	7	p	0	0	0
B11.38796	8	p	98	0	0
B11.38796	9	p	0	0	0
B11.38796	10	p	0	0	0
B11.38796	11	p	99	0	10
B11.38796	12	p	99	0	0
B11.38796	16	p	0	3	11
B11.38796	17	p	0	0	0
B11.38796	18	p	99	0	0
B11.38796	19	p	99	0	0
B11.38796	20	p	99	0	0
B11.38796	21	p	85	0	0
B11.38796	Y	p	0	0	0
B11.38796	X	p	99	0	4
B11.38796	1	q	99	0	0
B11.38796	2	q	98	0	2
B11.38796	3	q	0	0	0
B11.38796	4	q	98	0	0
B11.38796	5	q	0	0	2
B11.38796	6	q	99	0	0
B11.38796	7	q	0	0	0
B11.38796	8	q	99	0	0
B11.38796	9	q	0	0	0
B11.38796	10	q	0	0	0
B11.38796	11	q	99	0	3
B11.38796	12	q	99	0	0
B11.38796	13	q	99	0	0
B11.38796	14	q	0	0	0
B11.38796	15	q	0	0	0
B11.38796	16	q	0	99	0
B11.38796	17	q	0	0	0
B11.38796	18	q	99	0	0
B11.38796	19	q	99	0	0
B11.38796	20	q	99	0	0
B11.38796	21	q	99	0	0
B11.38796	22	q	1	0	0
B11.38796	Y	q	0	0	0
B11.38796	X	q	99	0	5
B13.36255	1	p	0	0	0
B13.36255	2	p	0	0	4
B13.36255	3	p	0	0	0
B13.36255	4	p	0	0	0
B13.36255	5	p	0	0	0
B13.36255	6	p	0	0	9
B13.36255	7	p	0	0	0
B13.36255	8	p	0	0	0
B13.36255	9	p	0	0	0
B13.36255	10	p	0	0	0
B13.36255	11	p	0	0	5
B13.36255	12	p	0	0	0
B13.36255	16	p	0	0	13
B13.36255	17	p	0	0	0
B13.36255	18	p	0	0	0
B13.36255	19	p	0	0	0
B13.36255	20	p	0	0	0
B13.36255	21	p	0	0	0
B13.36255	Y	p	0	0	0
B13.36255	X	p	0	0	0
B13.36255	1	q	0	0	2
B13.36255	2	q	0	0	3
B13.36255	3	q	0	0	0
B13.36255	4	q	0	0	0
B13.36255	5	q	0	0	0
B13.36255	6	q	0	0	0
B13.36255	7	q	0	9	13
B13.36255	8	q	0	0	0
B13.36255	9	q	0	0	0
B13.36255	10	q	0	0	0
B13.36255	11	q	0	0	0
B13.36255	12	q	0	0	0
B13.36255	13	q	0	0	0
B13.36255	14	q	0	0	0
B13.36255	15	q	0	0	0
B13.36255	16	q	0	0	0
B13.36255	17	q	0	0	0
B13.36255	18	q	0	0	0
B13.36255	19	q	0	0	0
B13.36255	20	q	0	0	0
B13.36255	21	q	0	0	0
B13.36255	22	q	0	0	0
B13.36255	Y	q	0	0	0
B13.36255	X	q	0	0	0
CQ1	1	p	0	0	0
CQ1	2	p	1	0	0
CQ1	3	p	0	0	99
CQ1	4	p	0	0	0
CQ1	5	p	0	0	0
CQ1	6	p	0	0	6
CQ1	7	p	99	0	0
CQ1	8	p	99	0	0
CQ1	9	p	0	0	82
CQ1	10	p	0	0	0
CQ1	11	p	0	0	0
CQ1	12	p	0	0	99
CQ1	16	p	0	0	7
CQ1	17	p	0	0	0
CQ1	18	p	0	0	0
CQ1	19	p	0	0	0
CQ1	20	p	98	1	0
CQ1	21	p	0	85	0
CQ1	Y	p	0	0	0
CQ1	X	p	4	0	0
CQ1	1	q	2	0	0
CQ1	2	q	18	5	0
CQ1	3	q	0	0	99
CQ1	4	q	0	0	0
CQ1	5	q	0	0	0
CQ1	6	q	0	0	0
CQ1	7	q	99	0	0
CQ1	8	q	99	0	0
CQ1	9	q	0	0	96
CQ1	10	q	0	0	3
CQ1	11	q	0	0	0
CQ1	12	q	0	0	0
CQ1	13	q	2	0	0
CQ1	14	q	0	0	0
CQ1	15	q	0	0	0
CQ1	16	q	0	0	0
CQ1	17	q	0	0	0
CQ1	18	q	0	0	0
CQ1	19	q	1	0	0
CQ1	20	q	99	0	0
CQ1	21	q	0	99	0
CQ1	22	q	1	0	10
CQ1	Y	q	0	0	0
CQ1	X	q	0	0	0
CQE1	1	p	0	0	0
CQE1	2	p	1	0	0
CQE1	3	p	0	0	99
CQE1	4	p	0	0	0
CQE1	5	p	0	0	0
CQE1	6	p	0	0	6
CQE1	7	p	99	0	0
CQE1	8	p	99	0	0
CQE1	9	p	0	0	82
CQE1	10	p	0	0	0
CQE1	11	p	0	0	0
CQE1	12	p	0	0	99
CQE1	16	p	0	0	7
CQE1	17	p	0	0	0
CQE1	18	p	0	0	0
CQE1	19	p	0	0	0
CQE1	20	p	98	1	0
CQE1	21	p	0	85	0
CQE1	Y	p	0	0	0
CQE1	X	p	4	0	0
CQE1	1	q	2	0	0
CQE1	2	q	18	5	0
CQE1	3	q	0	0	99
CQE1	4	q	0	0	0
CQE1	5	q	0	0	0
CQE1	6	q	0	0	0
CQE1	7	q	99	0	0
CQE1	8	q	99	0	0
CQE1	9	q	0	0	96
CQE1	10	q	0	0	3
