    sample_id       LOH         GAIN         LOSS
1p       test  2.266521   2.39116589   0.00000000
12p      test  0.000000   0.17792268  33.26235902
16p      test  2.926533   2.43047768  12.00149395
17p      test  0.000000   0.30795513   1.61782464
18p      test  0.000000   1.22841282   1.49114510
19p      test  5.722440   0.86855091   0.52478593
20p      test  0.000000   0.27775592   0.24614375
21p      test  0.000000   0.00000000   0.00000000
22p      test  0.000000   1.93748715   0.09846057
2p       test  0.000000   0.00000000   0.00000000
3p       test  7.564416   1.02998864   0.61157747
4p       test  0.000000   0.00000000   0.00000000
8p       test  0.000000   0.00000000   0.00000000
9p       test  0.000000   0.00000000   0.00000000
10p      test  0.000000   0.00000000   0.00000000
11p      test  0.000000   0.00000000   0.63179997
13p      test  0.000000   0.00000000  27.53197560
14p      test  0.000000   0.00000000   0.00000000
24p      test  0.000000   0.00000000   0.00000000
23p      test  0.000000   0.00000000   0.00000000
1q       test  0.000000   0.41752553   0.00000000
12q      test  0.000000   0.00000000   0.00000000
16q      test  0.000000   0.00000000   0.00000000
17q      test  0.000000   0.09048841   0.00000000
18q      test  0.000000   0.20789395   0.00000000
19q      test  0.000000   0.00000000   0.00000000
20q      test  0.000000   0.00000000   0.00000000
21q      test  0.000000   0.10832252   0.00000000
22q      test  0.000000   0.00000000   0.00000000
2q       test  0.000000   4.64295645   0.00000000
3q       test  0.000000 130.55771054   0.00000000
4q       test  3.598312   1.17666423   0.65844462
5q       test  3.394597   0.82305537   0.00000000
6q       test  3.865727   0.29985499   0.98188213
7q       test  0.000000   0.00000000   0.00000000
8q       test  0.000000   0.54965711   0.00000000
9q       test  0.000000   1.66772222   0.16142641
10q      test  4.696826   1.97405776   1.02238322
11q      test  0.000000   0.62514749   0.00000000
13q      test  0.000000   0.00000000 255.98903004
14q      test 43.430302   2.03893429   0.00000000
15q      test  9.273109   0.15857339   0.13823727
24q      test  0.000000   0.00000000   0.00000000
23q      test  0.000000   0.00000000   0.00000000
