"","GAIN","AMPLI","LOSS","LOH"
"1p",0.21,0,0,0
"2p",0,0,0,0
"3p",0,0,0,3.59
"4p",0,0,0,0
"5p",0,0,0,0
"6p",2.16,0,0,0
"7p",0,0,0,0
"8p",0,0,1.23,0
"9p",5.33,0,70.08,0
"10p",0,0,0,0
"11p",0,0,0,4.97
"12p",1.07,0,0,0
"16p",0,0,24.69,9.66
"17p",0,0,76.43,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,4.8
"1q",0.26,0,0,0
"2q",0,0,0,0
"3q",1.37,0,0,0
"4q",0,0,0,0
"5q",0.24,0,68.73,0
"6q",0,0,0,0
"7q",0,0,0,0
"8q",0,0,0,3.13
"9q",48.6,0,0,0
"10q",0,0,0.99,0
"11q",9.12,0,0,0
"12q",0.07,0,0,0
"13q",18.28,0,0,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",0.65,0,0,0
"17q",0,0,0.08,0
"18q",0,0,40.86,4.39
"19q",0,0,9.35,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",1.97,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,7.38
