"","GAIN","AMPLI","LOSS","LOH"
"1p",8.13,0,0,0
"2p",80.85,0,0.29,0
"3p",0,0,0,100
"4p",99.87,0,0,0
"5p",28.01,0,0,0
"6p",13.09,0,0.73,5.59
"7p",1.46,0,0.61,0
"8p",50.59,0,0,80.24
"9p",71.85,0,0,24.74
"10p",22.05,0,61.84,0
"11p",3.49,0,0.09,0
"12p",3.12,0,0,0
"16p",86.75,0,0,9.97
"17p",99.89,0,0,47.34
"18p",99.91,0,0,0
"19p",23.62,0,0.45,0
"20p",98.16,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",99.98,0,0,0
"1q",97.04,0,0,0
"2q",31.8,0,0.48,0
"3q",39.4,0,0,0
"4q",99.91,0,0,0
"5q",16.79,0,0,75.88
"6q",71.55,0,0,80.98
"7q",21.77,0,4.39,74.61
"8q",0,0,0,0
"9q",99.82,0,0,91.66
"10q",95.91,0,0,0
"11q",50.76,0,0,0
"12q",98.35,0,0,0
"13q",80.42,0,0,74.2
"14q",81.9,0,0,0
"15q",73.03,0,0,23.12
"16q",99.97,0,0,6.25
"17q",97.82,0,0,4.76
"18q",97.56,0,0,0
"19q",99.91,0,0,0
"20q",82.59,0,0,0
"21q",0,0,2.3,0
"22q",99.25,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
