"","GAIN","AMPLI","LOSS","LOH"
"1p",0.19,0,0.47,0
"2p",0.05,0,0,0
"3p",0.36,0,0.63,0
"4p",0,0,0,0
"5p",3.55,0,0,0
"6p",0.82,0,0.63,0
"7p",0,0,0.45,0
"8p",1.16,0,91.8,22.11
"9p",0,0,95.1,0
"10p",0,0,0.42,0
"11p",1.46,0,0,0
"12p",0.18,0,0.83,0
"16p",6.26,0,0.9,9.66
"17p",0,0,99.89,0
"18p",0,0,0,0
"19p",1.3,0,0.7,0
"20p",1.06,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,4.3,0
"1q",0.54,0,1.54,0
"2q",0.79,0,0.2,1.82
"3q",88.59,0,0,0
"4q",0.28,0,0,0
"5q",0,0,99.45,0
"6q",0.24,0,1.18,0
"7q",0,0,0.71,0
"8q",0.63,0,0,0
"9q",0.76,0,0.43,0
"10q",0.53,0,1.42,0
"11q",16.98,0,0,61.24
"12q",0.68,0,0.27,0
"13q",0.2,0,1.85,0
"14q",0,0,0.28,0
"15q",2.2,0,1,0
"16q",0.33,0,0.67,0
"17q",99.32,0,0,4.63
"18q",0,0,99.27,0
"19q",0,0,98.72,0
"20q",0.13,0,1.4,0
"21q",0,0,0,0
"22q",7.3,0,0.71,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
