"","GAIN","AMPLI","LOSS","LOH"
"1p",0.21,0,0,3.84
"2p",0.16,0,0.93,3.26
"3p",3.87,0,0,3.77
"4p",0.65,0,0,5.33
"5p",0,0,0,0
"6p",19.22,0,0,11.25
"7p",20.84,0,0,0
"8p",3.57,0,0.61,9.87
"9p",0,0,62.13,0
"10p",0,0,0,0
"11p",2.55,0,0,7.87
"12p",0,0,0,0
"16p",0,0,0,0
"17p",0,0,1.24,0
"18p",0,0,0,0
"19p",1.25,0,3.99,15.06
"20p",0.6,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",3.35,0,0,2.93
"2q",0.37,0,0,0
"3q",0.26,0,0.36,0
"4q",1.6,0,0,2.05
"5q",0.29,0,0,2.65
"6q",0.38,0,0,0
"7q",38.46,0,0,4.94
"8q",69.36,0,0,0
"9q",0.8,0,0,0
"10q",0.28,0,0,3.65
"11q",0,0,0,3.15
"12q",1.59,0,0.3,3.25
"13q",0.42,0,0.62,0
"14q",52.86,0,0,0
"15q",0.62,0,0,3.4
"16q",0.85,0,0.45,12.68
"17q",0,0,1.2,7
"18q",0,0,0,0
"19q",0,0,0.8,8.05
"20q",0,0,0,0
"21q",0.76,0,0,0
"22q",6.94,0,0.14,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
