"","GAIN","AMPLI","LOSS","LOH"
"1p",86.09,0,0.25,4.61
"2p",96.63,0,0,0
"3p",88.17,0,1.71,100
"4p",99.87,0,0,6.07
"5p",98.61,0,0,0
"6p",0,0,97.7,0
"7p",99.27,0,0,0
"8p",0,0,76.06,0
"9p",100,0,0,0
"10p",99.84,0,0,0
"11p",25.52,0,73.2,0
"12p",99.14,0,0,0
"16p",96.05,0,3.05,11.69
"17p",100,0,0,15.06
"18p",0,0,100,0
"19p",94.31,0,0,0
"20p",100,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",99.96,0,0,0
"1q",99.96,0,0,2.58
"2q",99.5,0,0,0
"3q",74.14,0,10.88,100
"4q",99.78,0,0,0
"5q",99.94,0,0,0
"6q",0,0,100,0
"7q",99.73,0,0,4.37
"8q",38.9,0,0.04,0
"9q",99.8,0,0,0
"10q",99.74,0,0,0
"11q",7.6,0,75.55,11.24
"12q",99.44,0,0,0
"13q",99.35,0,0,0
"14q",37.85,0,57.14,0
"15q",57.71,0,41.15,4.15
"16q",10.12,0,54.17,0
"17q",99.99,0,0,0
"18q",0,0,99.29,0
"19q",99.96,0,0,0
"20q",57.72,0,0,0
"21q",0,0,99.68,0
"22q",0,0,0.12,0
"Yq",0,0,0,0
"Xq",79.61,0,0,3.48
