"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,14.07
"2p",0,0,0,3.5
"3p",0,0,96.07,0
"4p",0,0,80.11,0
"5p",96.44,0,0,0
"6p",15.47,0,62.32,0
"7p",0,0,0,0
"8p",0,0,90.18,0
"9p",0,0,25.55,0
"10p",0,0,0,0
"11p",0,0,20.01,6.88
"12p",0,0,0,0
"16p",0,0,0,10.9
"17p",0,0,0,0
"18p",0,0,0,0
"19p",34.37,0,31.5,33.01
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,0
"2q",0,0,20.69,11.56
"3q",77.96,0,20.8,0
"4q",0,0,0,0
"5q",0,0,99.55,0
"6q",0,0,0,0
"7q",0,0,0,0
"8q",5.26,0,0,0
"9q",44.7,0,14.93,0
"10q",0,0,0,0
"11q",0,0,0,0
"12q",0,0,0,0
"13q",0,0,0,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",11.35,0,73.98,0
"20q",0,0,0,0
"21q",54.24,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
