CHR,GAIN,AMPLI,LOSS,LOH
1p,0,0,0,0
2p,0,0,0,1
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,1
1q,0,0,0,0
2q,0,0,0,0
3q,1,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,1,0,0,0
7q,0,0,0,0
8q,0,0,0,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,0,0
15q,1,0,0,0
16q,0,0,0,0
17q,0,0,0,1
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,1,0
Yq,0,0,0,0
Xq,0,0,0,2
1p,5,0,2,0
2p,2,0,0,0
3p,5,0,1,1
4p,0,0,0,1
5p,0,0,0,0
6p,1,0,1,0
7p,5,0,0,0
8p,9,0,0,0
9p,1,0,0,0
10p,0,0,1,0
11p,0,0,1,1
12p,6,0,0,0
16p,4,0,0,0
17p,2,0,0,0
18p,3,0,0,0
19p,4,0,0,0
20p,2,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,1,0
1q,2,0,0,0
2q,1,0,0,0
3q,1,0,1,0
4q,0,0,1,0
5q,1,0,1,0
6q,0,0,0,0
7q,2,0,0,1
8q,15,0,0,0
9q,1,0,0,0
10q,0,0,1,0
11q,0,0,1,1
12q,8,0,0,0
13q,7,0,0,0
14q,0,0,0,0
15q,4,0,3,0
16q,3,0,0,0
17q,3,0,0,0
18q,4,0,0,0
19q,5,0,0,0
20q,1,0,0,0
21q,1,0,0,0
22q,2,0,1,0
Yq,0,0,0,0
Xq,0,0,1,0
1p,1,0,0,0
2p,1,0,0,0
3p,1,0,6,0
4p,3,0,0,0
5p,8,0,0,0
6p,2,0,0,0
7p,5,0,0,0
8p,5,0,0,0
9p,3,0,0,0
10p,1,0,0,0
11p,3,0,0,0
12p,3,0,0,0
16p,5,0,0,1
17p,1,0,0,0
18p,1,0,0,0
19p,5,0,0,0
20p,2,0,0,0
21p,0,0,1,0
Yp,0,0,0,0
Xp,4,0,0,1
1q,3,0,0,0
2q,1,0,0,1
3q,1,0,1,0
4q,18,0,0,0
5q,8,0,0,0
6q,4,0,0,0
7q,4,0,0,0
8q,7,0,2,0
9q,7,0,0,0
