File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18012409.OSCHP	3.0	Gain	13	q14.2	930.751	249	9	LINC00562, SUCLA2, NUDT15, MED4, MED4-AS1, ITM2B, LINC00441, RB1, LPAR6	6	SUCLA2 (603921), NUDT15 (615792), MED4 (605718), ITM2B (603904), RB1 (614041), LPAR6 (609239)	Cytoregions Not Set				false	arr[hg19] 13q14.2(48,131,844-49,062,595)x3	chr13:48131844-49062595
H18012409.OSCHP	3.0	Gain	20	q13.13	341.262	24	8	RIPOR3, MIR1302-5, LOC100506175, PARD6B, BCAS4, ADNP, ADNP-AS1, DPM1	4	PARD6B (608975), BCAS4 (607471), ADNP (611386), DPM1 (603503)	Cytoregions Not Set				false	arr[hg19] 20q13.13(49,211,642-49,552,904)x3	chr20:49211642-49552904
H18012409.OSCHP	3.0	Gain	8	q11.23	191.324	18	3	TCEA1, LYPLA1, MRPL15	3	TCEA1 (601425), LYPLA1 (605599), MRPL15 (611828)	Cytoregions Not Set				false	arr[hg19] 8q11.23(54,912,989-55,104,313)x3	chr8:54912989-55104313
H18012409.OSCHP	2.67	Gain	1	p31.3	340.091	24	2	IL12RB2, SERBP1	2	IL12RB2 (601642), SERBP1 (607378)	Cytoregions Not Set				false	arr[hg19] 1p31.3(67,769,005-68,109,096)x2-3	chr1:67769005-68109096
H18012409.OSCHP	2.67	Gain	10	q23.31	58.368	21	1	PTEN	1	PTEN (601728)	Cytoregions Not Set				false	arr[hg19] 10q23.31(89,719,420-89,777,788)x2-3	chr10:89719420-89777788
H18012409.OSCHP	2.67	Gain	13	q13.2	257.559	19	1	RFC3	1	RFC3 (600405)	Cytoregions Not Set				false	arr[hg19] 13q13.2(34,380,259-34,637,818)x2-3	chr13:34380259-34637818
H18012409.OSCHP	2.67	Gain	16	q21	257.424	18	2	SLC38A7, GOT2	2	SLC38A7 (614236), GOT2 (138150)	Cytoregions Not Set				false	arr[hg19] 16q21(58,664,064-58,921,488)x2-3	chr16:58664064-58921488
H18012409.OSCHP	2.67	Gain	19	q13.2	30.092	24	1	AKT2	1	AKT2 (164731)	Cytoregions Not Set				false	arr[hg19] 19q13.2(40,789,796-40,819,888)x2-3	chr19:40789796-40819888
H18012409.OSCHP	2.67	Gain	20	q11.22	4789.962	351	62	CPNE1, RBM12, NFS1, ROMO1, RBM39, PHF20, SCAND1, CNBD2, NORAD, EPB41L1, LOC100130373, AAR2, DLGAP4, DLGAP4-AS1, MYL9, TGIF2, TGIF2-C20orf24, C20orf24, SLA2, NDRG3, DSN1, SOGA1, TLDC2, SAMHD1, RBL1, MROH8, RPN2, GHRH, MANBAL, SRC, BLCAP, NNAT, LINC00489, LOC100287792, CTNNBL1, VSTM2L, TTI1, RPRD1B, TGM2, KIAA1755, LOC149684, BPI, LBP, SNHG17, SNORA71B, SNORA71A, SNORA71C, SNORA71D, SNHG11, SNORA71E, SNORA60, RALGAPB, MIR548O2, ADIG, ARHGAP40, SLC32A1, ACTR5, PPP1R16B, FAM83D, DHX35, LINC01734, LINC01370	33	CPNE1 (604205), RBM12 (607179), NFS1 (603485), RBM39 (604739), PHF20 (610335), SCAND1 (610416), NORAD (617037), EPB41L1 (602879), AAR2 (617365), DLGAP4 (616191), MYL9 (609905), TGIF2 (607294), SLA2 (606577), NDRG3 (605273), DSN1 (609175), SAMHD1 (606754), RBL1 (116957), RPN2 (180490), GHRH (139190), SRC (190090), BLCAP (613110), NNAT (603106), CTNNBL1 (611537), VSTM2L (616537), TTI1 (614425), RPRD1B (614694), TGM2 (190196), BPI (109195), LBP (151990), ADIG (611396), SLC32A1 (616440), PPP1R16B (613275), LINC01370 (617038)	Cytoregions Not Set				false	arr[hg19] 20q11.22q12(34,214,367-39,004,329)x2-3	chr20:34214367-39004329
H18012409.OSCHP	2.67	Gain	20	q13.33	91.304	19	8	STMN3, RTEL1, RTEL1-TNFRSF6B, TNFRSF6B, ARFRP1, ZGPAT, LIME1, SLC2A4RG	6	STMN3 (608362), RTEL1 (608833), TNFRSF6B (603361), ARFRP1 (604699), LIME1 (609809), SLC2A4RG (609493)	Cytoregions Not Set				false	arr[hg19] 20q13.33(62,280,737-62,372,041)x2-3	chr20:62280737-62372041
H18012409.OSCHP	2.67	Gain	4	q31.21	313.628	19	1	IL15	1	IL15 (600554)	Cytoregions Not Set				false	arr[hg19] 4q31.21(142,570,471-142,884,099)x2-3	chr4:142570471-142884099
