"","GAIN","AMPLI","LOSS","LOH"
"1p",0.63,0,0,0
"2p",1.21,0,0.54,0
"3p",0.75,0,0.42,100
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0.32,0,0,6.04
"7p",100,0,0,0
"8p",99.23,0,0,0
"9p",0,0,0,82.95
"10p",0,0,0.75,0
"11p",0,0,0,0
"12p",0,0,0,99.63
"16p",0,0,0,7.43
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",98.23,0,1.16,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",4.3,0,0,0
"1q",2.33,0,0.34,0
"2q",18.59,0,5.84,0
"3q",0,0,0,100
"4q",0.82,0,0.17,0
"5q",0,0,0.85,0
"6q",0.14,0,0.71,0
"7q",99.67,0,0,0
"8q",99.47,0,0,0
"9q",0,0,0,96.12
"10q",0.4,0,0.05,3.18
"11q",0.64,0,0,0
"12q",0,0,0.51,0
"13q",2.97,0,0.29,0
"14q",0,0,0.7,0
"15q",0,0,0.08,0
"16q",0,0,0.6,0
"17q",0.48,0,0,0
"18q",0,0,0.5,0
"19q",1.39,0,0,0
"20q",99.88,0,0,0
"21q",0,0,100,0
"22q",1.11,0,0,10.22
"Yq",0,0,0,0
"Xq",0.26,0,0,0
