"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,3.37,0
"2p",0,0,0,0
"3p",0,0,0.73,3.28
"4p",0,0,0,0
"5p",2.63,0,0,0
"6p",0,0,100,0
"7p",21.7,0,0,0
"8p",0,0,0,0
"9p",0,0,0,0
"10p",0,0,100,0
"11p",0,0,3.2,0
"12p",0,0,0,0
"16p",0,0,0,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",15.06,0,0,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",4.32,0,0,0
"1q",30.07,0,10.65,0
"2q",0,0,0,0
"3q",0,0,0,0
"4q",0.35,0,0,0
"5q",0,0,1.39,0
"6q",0,0,100,0
"7q",15.44,0,0,60.2
"8q",0,0,0,0
"9q",0,0,0,0
"10q",0,0,100,0
"11q",0,0,0,0
"12q",0.33,0,2.02,6.16
"13q",0.47,0,0,0
"14q",0,0,98.92,0
"15q",0,0,0.41,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",8.28,0,0,0
"20q",100,0,0,0
"21q",1.81,0,1.46,0
"22q",0,0,100,0
"Yq",0,0,0,0
"Xq",0,0,0,0
