"","GAIN","AMPLI","LOSS","LOH"
"1p",8.22,0,0,0
"2p",68.75,0,0.29,0
"3p",0,0,0,100
"4p",100,0,0,0
"5p",27.88,0,0,0
"6p",7.69,0,0.56,5.59
"7p",1.46,0,0.49,0
"8p",48.82,0,0,64.63
"9p",71.85,0,0,24.74
"10p",10.49,0,53.24,0
"11p",3.54,0,0.09,0
"12p",3.12,0,0,0
"16p",85.05,0,0,9.97
"17p",99.89,0,0,47.34
"18p",100,0,0,0
"19p",23.62,0,0.45,0
"20p",100,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",100,0,0,0
"1q",97.6,0,0,0
"2q",13.7,0,0.32,0
"3q",38.31,0,0,0
"4q",99.92,0,0,0
"5q",7.99,0,0,33.72
"6q",53.83,0,0,42
"7q",4.7,0,4.39,28.47
"8q",0,0,0,0
"9q",99.98,0,0,40.36
"10q",65.46,0,0,0
"11q",42.04,0,0,0
"12q",75,0,0,0
"13q",80.43,0,0,74.2
"14q",35.09,0,0,0
"15q",73.17,0,0,23.12
"16q",100,0,0,6.25
"17q",99.68,0,0,4.76
"18q",98.48,0,0,0
"19q",99.97,0,0,0
"20q",83.5,0,0,0
"21q",0,0,1.53,0
"22q",100,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
