"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,3.52,0
"2p",60.19,0,0,5.61
"3p",0,0,10.61,83.31
"4p",0,0,0,0
"5p",98.75,0,0,0
"6p",100,0,0,24.6
"7p",94.82,0,0,0
"8p",0,0,0,81.47
"9p",29.51,0,13.54,0
"10p",0,0,0,0
"11p",84.02,0,0,0
"12p",66.39,0,0,0
"16p",0,0,0,0
"17p",30.77,0,0,0
"18p",65.07,0,0,0
"19p",0,0,0,100
"20p",86.16,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",100,0,0,15.2
"1q",91.8,0,0,12.36
"2q",0,0,0,100
"3q",65.23,0,0,3.32
"4q",51.42,0,0,2.23
"5q",0,0,0,84.1
"6q",100,0,0,3.47
"7q",44.64,0,0,48.49
"8q",45.26,0,0,0
"9q",0,0,0,0
"10q",96.32,0,0,22.42
"11q",15.81,0,0,76.62
"12q",100,0,0,0
"13q",0,0,0,34.46
"14q",22.81,0,0,46.37
"15q",46.2,0,0,6.59
"16q",100,0,0,0
"17q",40.69,0,0,36.05
"18q",97.92,0,0,0
"19q",99.97,0,0,0
"20q",73.32,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",100,0,0,0
