"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,0
"2p",100,0,0,0
"3p",0,0,0,0
"4p",100,0,0,0
"5p",0,0,0,0
"6p",100,0,0,0
"7p",0,0,0,0
"8p",98.04,0,0,0
"9p",0,0,0,0
"10p",0,0,0,0
"11p",100,0,0,10.19
"12p",80.58,0,0,0
"16p",0,0,0,11.05
"17p",0,0,0,0
"18p",100,0,0,0
"19p",100,0,0,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",100,0,0,0
"1q",98.13,0,0,0
"2q",100,0,0,0
"3q",0,0,0,0
"4q",98.98,0,0,0
"5q",0,0,0,2.72
"6q",100,0,0,0
"7q",0,0,0,0
"8q",99.3,0,0,0
"9q",0,0,0,0
"10q",0,0,0,0
"11q",100,0,0,0
"12q",97.75,0,0,0
"13q",100,0,0,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",0,0,98.22,0
"17q",0,0,0,0
"18q",99.99,0,0,0
"19q",100,0,0,0
"20q",100,0,0,0
"21q",100,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",100,0,0,5.46
