"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0.52,4.51
"2p",100,0,0,0
"3p",19.06,0,0,6.84
"4p",0,0,0,7.57
"5p",99.64,0,0,0
"6p",0,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0,0,0,17.99
"10p",0,0,0,8.85
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,22.92
"17p",0,0,72.04,14.61
"18p",0,0,0,0
"19p",96.54,0,0,10.96
"20p",100,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",93.56,0,0,0
"2q",100,0,0,1.92
"3q",12.71,0,0,0
"4q",0.2,0,0.34,4.51
"5q",0,0,0,0
"6q",0,0,36.28,2.71
"7q",100,0,0,2.57
"8q",0,0,0,0
"9q",0,0,0,7.79
"10q",22.86,0,0,3.47
"11q",2.29,0,0,4.35
"12q",0,0,0,0
"13q",59.51,0,0,4.22
"14q",0,0,0,7.44
"15q",0,0,4.02,14.26
"16q",0,0,4.94,10.75
"17q",23.1,0,0,0
"18q",0,0,0,0
"19q",99.4,0,0,0
"20q",90.53,0,0,0
"21q",100,0,0,0
"22q",100,0,0.12,0
"Yq",0,0,0,0
"Xq",10.86,0,0,0
