"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,38.69,5.7
"2p",1.44,0,3.15,16.9
"3p",11.03,0,0.43,3.74
"4p",8.12,0,0,0
"5p",1.3,0,3.92,0
"6p",0,0,7.2,9.17
"7p",0.6,0,1.58,6.33
"8p",45.16,0,9.95,0
"9p",3.15,0,26.68,0
"10p",50.79,0,4.8,0
"11p",0.27,0,1.03,14.31
"12p",2.49,0,16.2,7.41
"16p",73.84,0,16.65,0
"17p",0,0,26.35,0
"18p",0,0,22.16,0
"19p",4.75,0,51.07,0
"20p",0,0,5.62,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.24,0,16.73,11.23
"2q",0,0,4.22,7.22
"3q",1.06,0,1.2,2.69
"4q",0,0,4.52,2.83
"5q",0.7,0,6.66,5.32
"6q",0.93,0,9.56,4.2
"7q",6.93,0,7.3,11.06
"8q",17.85,0,0.45,7.02
"9q",3.9,0,1.85,7.81
"10q",7.43,0,14.65,0
"11q",0,0,4.9,3.27
"12q",7.87,0,2.7,0
"13q",0.68,0,17.41,3.99
"14q",6.2,0,3.02,4.8
"15q",5.17,0,5.97,18.46
"16q",43.17,0,6.82,0
"17q",4.25,0,13.07,0
"18q",4.66,0,6.38,10.15
"19q",0,0,40.47,0
"20q",1.11,0,13.6,0
"21q",15.03,0,9.35,0
"22q",0,0,10.99,0
"Yq",0,0,0,0
"Xq",0,0,0.29,0
