"","GAIN","AMPLI","LOSS","LOH"
"1p",3.3,0,0,0
"2p",99.56,0,0,0
"3p",0,0,0,100
"4p",100,0,0,0
"5p",27.88,0,0,0
"6p",0,0,0,5.59
"7p",0,0,0,0
"8p",45.92,0,0,82.73
"9p",71.85,0,0,24.74
"10p",10.49,0,72.46,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",81.04,0,0,9.97
"17p",99.89,0,0,47.34
"18p",100,0,0,0
"19p",23.62,0,0,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",95.68,0,0,0
"1q",97.6,0,0,0
"2q",17.55,0,0,0
"3q",38.31,0,0,0
"4q",99.92,0,0,0
"5q",7.99,0,0,92.73
"6q",53.83,0,0,86.36
"7q",36.91,0,4.39,100
"8q",0,0,0,0
"9q",98.72,0,0,96.12
"10q",94.04,0,0,0
"11q",42.04,0,0,0
"12q",100,0,0,0
"13q",80.43,0,0,74.2
"14q",97.59,0,0,0
"15q",73.17,0,0,23.12
"16q",100,0,0,0
"17q",96.19,0,0,0
"18q",98.48,0,0,0
"19q",99.97,0,0,0
"20q",76.64,0,0,0
"21q",0,0,0,0
"22q",100,0,0,0
"Yq",0,0,0,0
"Xq",99.69,0,0,0
