"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,99.87,0
"2p",100,0,0,0
"3p",0.39,0,0,100
"4p",0,0,0,100
"5p",99.94,0,0,0
"6p",98.54,0,0,0
"7p",9.74,0,1.21,0
"8p",0,0,1.15,97.08
"9p",0,0,0,0
"10p",99.96,0,0,0
"11p",0,0,0,100
"12p",99.7,0,0,79.1
"16p",0,0,0,100
"17p",0,0,17.75,99.89
"18p",0,0,100,99.9
"19p",98.91,0,0,0
"20p",99.99,0,0,0
"21p",0,0,0,0
"Yp",99.93,0,0,0
"Xp",4.27,0,0,0
"1q",99.15,0,0,0
"2q",99.97,0,0,0
"3q",0,0,0.24,100
"4q",0,0,0,99.92
"5q",99.93,0,0,4.55
"6q",0,0,0,100
"7q",0,0,0.25,8.75
"8q",0,0,0.54,100
"9q",0.95,0,0,3.73
"10q",99.93,0,0,6.11
"11q",0,0,0.32,100
"12q",99.97,0,0,88.34
"13q",0,0,0,100
"14q",0,0,0.1,98.92
"15q",0,0,99.7,0
"16q",0,0,0,100
"17q",0,0,0,100
"18q",0,0,99.99,0
"19q",99.9,0,0,0
"20q",99.83,0,0,17.29
"21q",0,0,0,100
"22q",98.09,0,0,0
"Yq",100,0,0,0
"Xq",0.26,0,0,0
