"","GAIN","AMPLI","LOSS","LOH"
"1p",0.31,0,1.12,0
"2p",78.23,0,0.23,0
"3p",2.68,0,1.31,3.02
"4p",0.13,0,2.12,0
"5p",0,0,0,0
"6p",0.23,0,1.5,10.8
"7p",0,0,26.49,0
"8p",0,0,0.17,0
"9p",0,0,0.14,0
"10p",0,0,0,8.78
"11p",2.36,0,0,5.08
"12p",5.94,0,0,0
"16p",0.38,0,0,0
"17p",0,0,0.19,13.52
"18p",0,0,1.95,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0.05,0
"1q",1.1,0,3.36,4.02
"2q",0.05,0,0.21,0
"3q",0,0,0,2.67
"4q",0.22,0,0,0
"5q",1.12,0,0.9,2.4
"6q",0,0,0,2.34
"7q",0.82,0,0,2.94
"8q",0.59,0,0.4,0
"9q",0.19,0,0,0
"10q",2.15,0,4.87,8.35
"11q",0,0,0,0
"12q",1,0,0.96,0
"13q",0,0,0,0
"14q",2.03,0,0.29,5.15
"15q",0.17,0,0,0
"16q",1.61,0,0.81,0
"17q",0.16,0,0,7.38
"18q",3.93,0,0.74,0
"19q",0,0,0.24,0
"20q",4.25,0,0,8.8
"21q",6.22,0,1.77,0
"22q",2.83,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
