"","GAIN","AMPLI","LOSS","LOH"
"1p",99.7,0,0,0
"2p",100,0,0,0
"3p",84.05,0,0,50.16
"4p",100,0,0,0
"5p",0,0,0,99.94
"6p",99.89,0,0,60.43
"7p",99.96,0,0,95.69
"8p",99.59,0,0,0
"9p",78,0,17.03,72.5
"10p",99.07,0,0,0
"11p",0.75,0,0,100
"12p",1.4,0,0,0
"16p",0,0,0,9.42
"17p",100,0,0,99.89
"18p",100,0,0,0
"19p",99.73,0,0,0
"20p",98.49,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",7.48,0,42.49,29.81
"1q",98.59,0,0,0
"2q",69.95,0,0,34.53
"3q",99.22,0,0.24,0
"4q",99.89,0,0,0
"5q",78.51,0,0,30.59
"6q",97.67,0,0,0
"7q",1.33,0,0,0
"8q",12.91,0,0,0
"9q",0,0,0,96.12
"10q",99.27,0,0,0
"11q",64.88,0,2.56,46.92
"12q",99.9,0,0,0
"13q",0,0,0,100
"14q",0.31,0,0,3.24
"15q",0,0,0,96.65
"16q",0,0,0,0
"17q",100,0,0,100
"18q",98.28,0,0.79,0
"19q",99.63,0,0,0
"20q",98,0,0,0
"21q",98.63,0,0,0
"22q",31.86,0,0,72.49
"Yq",0,0,0,0
"Xq",0,0,0,100
