File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H19001711.OSCHP	8.0	Gain	7	q32.1	614.411	44	8	NRF1, MIR182, MIR96, MIR183, UBE2H, ZC3HC1, KLHDC10, TMEM209	6	NRF1 (600879), MIR182 (611607), MIR96 (611606), MIR183 (611608), UBE2H (601082), KLHDC10 (615152)	Cytoregions Not Set				false	arr[hg19] 7q32.1q32.2(129,199,327-129,813,738)x8	chr7:129199327-129813738
H19001711.OSCHP	7.0	Gain	7	p11.2	15.08	24	1	EGFR	1	EGFR (131550)	Cytoregions Not Set				false	arr[hg19] 7p11.2(55,219,158-55,234,238)x7	chr7:55219158-55234238
H19001711.OSCHP	7.0	Gain	7	q31.2	23.154	38	1	MET	1	MET (164860)	Cytoregions Not Set				false	arr[hg19] 7q31.2(116,328,031-116,351,185)x7	chr7:116328031-116351185
H19001711.OSCHP	7.0	Gain	7	q31.2	1046.731	82	11	CAPZA2, ST7-AS1, ST7, ST7-OT4, MIR6132, ST7-AS2, ST7-OT3, WNT2, ASZ1, CFTR, CTTNBP2	6	CAPZA2 (601571), ST7 (600833), WNT2 (147870), ASZ1 (605797), CFTR (602421), CTTNBP2 (609772)	Cytoregions Not Set				false	arr[hg19] 7q31.2q31.31(116,439,581-117,486,312)x7	chr7:116439581-117486312
H19001711.OSCHP	6.0	Gain	7	p22.2	17879.548	1314	109	CARD11, LOC100129603, SDK1, FOXK1, AP5Z1, MIR4656, RADIL, SNORD165, PAPOLB, MMD2, RNF216P1, RBAK, RBAK-RBAKDN, RBAKDN, ZNF890P, WIPI2, SLC29A4, TNRC18, FBXL18, MIR589, LOC221946, ACTB, FSCN1, RNF216, RNF216-IT1, MIR6874, ZNF815P, OCM, CCZ1, RSPH10B, RSPH10B2, PMS2, AIMP2, SNORA80D, EIF2AK1, ANKRD61, USP42, CYTH3, FAM220A, RAC1, DAGLB, KDELR2, GRID2IP, ZDHHC4, C7orf26, ZNF853, ZNF316, ZNF12, PMS2CL, CCZ1B, MIR3683, LOC100131257, C1GALT1, LOC101927354, COL28A1, LOC101927391, MIOS, RPA3, UMAD1, LOC100505921, GLCCI1, ICA1, LOC100505938, NXPH1, PER4, MGC4859, NDUFA4, PHF14, THSD7A, TMEM106B, VWDE, LOC102725191, SCIN, ARL4A, ETV1, DGKB, AGMO, MEOX2, LOC105375166, MEOX2-AS1, ISPD, ISPD-AS1, SOSTDC1, LRRC72, ANKMY2, BZW2, TSPAN13, AGR2, AGR3, AHR, KCCAT333, LOC101927630, SNX13, PRPS1L1, HDAC9, MIR1302-6, TWIST1, FERD3L, TWISTNB, MIR3146, TMEM196, LOC101927668, MACC1, MACC1-AS1, LOC100506098, LOC101927769, LOC101927811, ITGB8, ABCB5	56	CARD11 (607210), SDK1 (607216), FOXK1 (616302), AP5Z1 (613653), RADIL (611491), PAPOLB (607436), MMD2 (614581), RBAK (608191), WIPI2 (609225), SLC29A4 (609149), FBXL18 (609084), ACTB (102630), FSCN1 (602689), RNF216 (609948), OCM (164795), PMS2 (600259), AIMP2 (600859), EIF2AK1 (613635), CYTH3 (605081), FAM220A (616628), RAC1 (602048), DAGLB (614016), KDELR2 (609024), GRID2IP (610639), ZNF12 (194536), C1GALT1 (610555), COL28A1 (609996), MIOS (615359), RPA3 (179837), GLCCI1 (614283), ICA1 (147625), NXPH1 (604639), NDUFA4 (603833), THSD7A (612249), TMEM106B (613413), SCIN (613416), ARL4A (604786), ETV1 (600541), DGKB (604070), AGMO (613738), MEOX2 (600535), ISPD (614631), SOSTDC1 (609675), TSPAN13 (613139), AGR2 (606358), AGR3 (609482), AHR (600253), SNX13 (606589), PRPS1L1 (611566), HDAC9 (606543), TWIST1 (601622), FERD3L (617578), TWISTNB (608312), MACC1 (612646), ITGB8 (604160), ABCB5 (611785)	Cytoregions Not Set				false	arr[hg19] 7p22.2p21.1(2,926,074-20,805,622)x6	chr7:2926074-20805622
H19001711.OSCHP	6.0	Gain	7	p11.2	485.295	32	4	VSTM2A, VSTM2A-OT1, SEC61G, LOC100996654	1	SEC61G (609215)	Cytoregions Not Set				false	arr[hg19] 7p11.2(54,593,496-55,078,791)x6	chr7:54593496-55078791
H19001711.OSCHP	6.0	Gain	7	p11.2	28.27	41	1	EGFR	1	EGFR (131550)	Cytoregions Not Set				false	arr[hg19] 7p11.2(55,189,686-55,217,956)x6	chr7:55189686-55217956
H19001711.OSCHP	6.0	Gain	7	p11.2	715.574	40	8	EGFR, EGFR-AS1, ELDR, LANCL2, VOPP1, FKBP9P1, SEPT14, ZNF713	5	EGFR (131550), LANCL2 (612919), VOPP1 (611915), SEPT14 (612140), ZNF713 (616181)	Cytoregions Not Set				false	arr[hg19] 7p11.2(55,247,333-55,962,907)x6	chr7:55247333-55962907
H19001711.OSCHP	6.0	Gain	7	q11.23	20958.197	1540	145	GTF2IRD1, GTF2I, LOC101926943, NCF1, GTF2IRD2, STAG3L2, PMS2P5, RCC1L, GTF2IRD2B, NCF1C, GTF2IP4, GTF2IP1, SPDYE10P, SPDYE17, SPDYE13P, SPDYE15P, SPDYE14P, SPDYE11, CASTOR2, SPDYE8P, PMS2P7, STAG3L1, TRIM73, NSUN5P1, POM121C, SPDYE5, PMS2P3, HIP1, CCL26, CCL24, RHBDD2, POR, MIR4651, SNORA14A, TMEM120A, STYXL1, MDH2, GTF2IP7, SRRM3, HSPB1, YWHAG, SSC4D, ZP3, DTX2, FDPSP2, UPK3B, SPDYE16, LOC100133091, POMZP3, DTX2P1-UPK3BP1-PMS2P11, PMS2P9, SPDYE18, FAM185BP, CCDC146, FGL2, GSAP, LOC101927243, PTPN12, APTR, RSBN1L, TMEM60, PHTF2, MAGI2, RPL13AP17, MAGI2-AS2, MAGI2-AS3, GNAI1, LOC101927269, GNAT3, CD36, SEMA3C, LOC105369146, LOC100128317, HGF, CACNA2D1, LOC101927356, PCLO, SEMA3E, SEMA3A, LOC101927378, SEMA3D, LINC00972, GRM3, KIAA1324L, LOC101927420, DMTF1, TMEM243, TP53TG1, CROT, ABCB4, ABCB1, RUNDC3B, SLC25A40, DBF4, ADAM22, SRI, LOC102723885, STEAP4, ZNF804B, TEX47, STEAP2-AS1, DPY19L2P4, STEAP1, STEAP2, CFAP69, LOC101927446, GTPBP10, LOC101409256, CLDN12, CDK14, FZD1, MTERF1, AKAP9, CYP51A1, CYP51A1-AS1, LRRD1, KRIT1, ANKIB1, TMBIM7P, GATAD1, PEX1, RBM48, FAM133B, FAM133DP, CDK6, LOC101927497, SAMD9, SAMD9L, HEPACAM2, VPS50, CALCR, MIR653, MIR489, MIR4652, TFPI2, LOC105375401, GNGT1, GNG11, BET1, COL1A2-AS1, COL1A2, CASD1, SGCE, PEG10, PPP1R9A	81	GTF2IRD1 (604318), GTF2I (601679), NCF1 (608512), GTF2IRD2 (608899), GTF2IRD2B (608900), CASTOR2 (617033), TRIM73 (612549), POM121C (615754), HIP1 (601767), CCL26 (604697), CCL24 (602495), RHBDD2 (615203), POR (124015), TMEM120A (616550), STYXL1 (616695), MDH2 (154100), HSPB1 (602195), YWHAG (605356), SSC4D (607639), ZP3 (182889), DTX2 (613141), UPK3B (611887), POMZP3 (600587), FGL2 (605351), GSAP (613552), PTPN12 (600079), APTR (616048), PHTF2 (616785), MAGI2 (606382), GNAI1 (139310), GNAT3 (139395), CD36 (173510), SEMA3C (602645), HGF (142409), CACNA2D1 (114204), PCLO (604918), SEMA3E (608166), SEMA3A (603961), SEMA3D (609907), GRM3 (601115), KIAA1324L (614048), DMTF1 (608491), TMEM243 (616993), TP53TG1 (616403), CROT (606090), ABCB4 (171060), ABCB1 (171050), RUNDC3B (617295), SLC25A40 (610821), DBF4 (604281), ADAM22 (603709), SRI (182520), STEAP4 (611098), STEAP1 (604415), STEAP2 (605094), GTPBP10 (610920), CLDN12 (611232), CDK14 (610679), FZD1 (603408), MTERF1 (602318), AKAP9 (604001), CYP51A1 (601637), KRIT1 (604214), GATAD1 (614518), PEX1 (602136), CDK6 (603368), SAMD9 (610456), SAMD9L (611170), HEPACAM2 (614133), VPS50 (616465), CALCR (114131), MIR489 (614523), TFPI2 (600033), GNGT1 (189970), GNG11 (604390), BET1 (605456), COL1A2 (120160), CASD1 (611686), SGCE (604149), PEG10 (609810), PPP1R9A (602468)	Cytoregions Not Set				false	arr[hg19] 7q11.23q21.3(73,855,191-94,813,388)x6	chr7:73855191-94813388
H19001711.OSCHP	6.0	Gain	7	q31.1	7963.773	585	30	C7orf66, EIF3IP1, IMMP2L, LRRN3, DOCK4, DOCK4-AS1, ZNF277, IFRD1, LSMEM1, LOC100996249, LOC101928012, TMEM168, BMT2, HRAT17, GPR85, LINC00998, PPP1R3A, FOXP2, MIR3666, MDFIC, LINC01393, LINC01392, SNORA25B, TFEC, TES, LOC102724434, CAV2, CAV1, LINC01510, MET	13	IMMP2L (605977), DOCK4 (607679), ZNF277 (605465), IFRD1 (603502), GPR85 (605188), PPP1R3A (600917), FOXP2 (605317), MDFIC (614511), TFEC (604732), TES (606085), CAV2 (601048), CAV1 (601047), MET (164860)	Cytoregions Not Set				false	arr[hg19] 7q31.1q31.2(108,363,886-116,327,659)x6	chr7:108363886-116327659
