"","GAIN","AMPLI","LOSS","LOH"
"1p",59.77,0,2.84,2.79
"2p",96.92,0,0,0
"3p",31.62,0,0,100
"4p",96.4,0,0,0
"5p",99.94,0,0,10.35
"6p",0,0,97.45,0
"7p",95.05,0,0,0
"8p",0,0,71.83,0
"9p",100,0,0,0
"10p",100,0,0,0
"11p",19.86,0,74.45,0
"12p",97.67,0,0,0
"16p",23.23,0,0,11.71
"17p",42.59,0,0,15.15
"18p",0,0,100,0
"19p",98.17,0,0,0
"20p",41.02,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",61.4,0,0,0
"1q",100,0,0,5.28
"2q",100,0,0,2.88
"3q",12.7,0,8.8,100
"4q",28.22,0,0,0
"5q",96.13,0,0,0
"6q",0,0,99.23,0
"7q",100,0,0,4.48
"8q",38.95,0,0,0
"9q",98.72,0,0,0
"10q",21.67,0,0,0
"11q",4.01,0,76.03,0
"12q",80,0,0,4.97
"13q",42.73,0,0,0
"14q",0,0,50.39,0
"15q",17.38,0,41.47,0
"16q",0,0,40.98,0
"17q",48.11,0,0,0
"18q",0,0,99.99,0
"19q",99.06,0,0,0
"20q",43.57,0,0,0
"21q",0,0,100,0
"22q",0,0,14.4,0
"Yq",0,0,0,0
"Xq",68.34,0,0,6.49
