"","GAIN","AMPLI","LOSS","LOH"
"1p",1.46,0,0.82,0
"2p",0,0,0,97.8
"3p",0,0,100,0
"4p",0,0,2.81,0
"5p",63.75,0,0,0
"6p",4.43,0,0.28,38.05
"7p",39.92,0,0.32,53.59
"8p",0,0,72.47,0
"9p",39.23,0,0.2,82.95
"10p",0,0,89.28,0
"11p",95.88,0,3.86,0
"12p",0.72,0,0,0
"16p",1.07,0,8.98,0
"17p",0,0,0.41,35.64
"18p",9.54,0,2.02,0
"19p",0.52,0,27.75,11.44
"20p",99.66,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.75,0,0.91,0
"2q",1.18,0,51.13,61.07
"3q",99.97,0,0,0
"4q",0,0,0.38,0
"5q",59.33,0,0.26,0
"6q",0.13,0,0.45,0
"7q",62.37,0,0,37.66
"8q",4.7,0,0,4.06
"9q",90.71,0,0,83.39
"10q",0.69,0,0,53.6
"11q",17.99,0,20.3,58.88
"12q",0,0,0,0
"13q",51.87,0,0,0
"14q",0.54,0,0,0
"15q",41.21,0,19.33,0
"16q",99.3,0,0,0
"17q",0.16,0,4.55,0
"18q",0.45,0,0,0
"19q",0.16,0,1.08,0
"20q",100,0,0,0
"21q",2.98,0,89.71,0
"22q",0,0,51.44,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
