"","GAIN","AMPLI","LOSS","LOH"
"1p",0.07,0,0,14.07
"2p",0.34,0,0,3.5
"3p",0.72,0,96.03,0
"4p",0,0,82.72,0
"5p",89.96,0,0,0
"6p",15.47,0,62.32,0
"7p",0,0,0.46,0
"8p",7.49,0,90.18,0
"9p",5.77,0,25.55,0
"10p",0,0,0,0
"11p",0,0,20.5,6.88
"12p",0,0,0,0
"16p",9.36,0,0.67,10.9
"17p",1.2,0,0,0
"18p",2.13,0,0,0
"19p",47.72,0,31.5,33.01
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,4.3,0
"1q",0,0,0,0
"2q",0,0,20.69,11.56
"3q",79.14,0,20.8,0
"4q",0.66,0,0,0
"5q",0,0,99.92,0
"6q",0.51,0,0.26,0
"7q",0.15,0,0,0
"8q",5.26,0,0,2.81
"9q",63.42,0,21.76,0
"10q",1.26,0,0.54,0
"11q",0.06,0,0.37,0
"12q",0,0,0.31,2.77
"13q",0.02,0,0,0
"14q",0.13,0,0,0
"15q",0.64,0,0,0
"16q",0.49,0,0,0
"17q",0.2,0,3.34,0
"18q",0,0,0,0
"19q",21.9,0,73.98,0
"20q",0,0,0,0
"21q",66.48,0,0,0
"22q",0.49,0,0.12,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
