"","GAIN","AMPLI","LOSS","LOH"
"1p",57.2,0,0,0
"2p",78.65,0,0,0
"3p",54.27,0,9.14,45.58
"4p",69.57,0,2.36,28.06
"5p",19.14,0,0,81.1
"6p",96.55,0,0,0
"7p",14.62,0,0,0
"8p",0,0,56.19,41.63
"9p",74.64,0,0,0
"10p",0,0,41.86,100
"11p",13.45,0,0,86.97
"12p",17.52,0,0,82.24
"16p",95,0,0,7.16
"17p",4.46,0,0,99.89
"18p",95.67,0,0,0
"19p",19.57,0,0,100
"20p",21.64,0,3.92,0
"21p",85.12,0,0,0
"Yp",99.93,0,0,0
"Xp",31.19,0,0,0
"1q",97.86,0,0,94.42
"2q",28.74,0,0.66,0
"3q",98.59,0,0,0
"4q",45.21,0,0,52.73
"5q",32.05,0,0,98.87
"6q",37.71,0,0,55.28
"7q",75.93,0,11.27,11.86
"8q",9.34,0,31.21,76.74
"9q",7.28,0,0,96.12
"10q",0,0,8.04,99.99
"11q",58.31,0,0,42.04
"12q",98.59,0,0,0
"13q",98.28,0,0,0
"14q",48.4,0,1.77,50.51
"15q",58.82,0,0,0
"16q",47.94,0,0,0
"17q",99.91,0,0,0
"18q",19.91,0,80.02,0
"19q",96.9,0,0,0
"20q",58.07,0,1.11,40.81
"21q",100,0,0,0
"22q",98,0,0.71,0
"Yq",100,0,0,0
"Xq",99.69,0,0,0
