"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,3.84
"2p",0,0,0,3.26
"3p",3.87,0,0,3.77
"4p",0,0,0,0
"5p",0,0,0,0
"6p",36.39,0,0,11.25
"7p",20.84,0,0,0
"8p",0,0,0,9.87
"9p",0,0,62.13,0
"10p",0,0,0,0
"11p",0,0,0,7.87
"12p",0,0,0,0
"16p",0,0,0,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,15.06
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",3.35,0,0,2.93
"2q",0,0,0,0
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,0,2.65
"6q",0,0,0,0
"7q",38.44,0,0,4.94
"8q",69.36,0,0,0
"9q",0,0,0,0
"10q",0,0,0,3.65
"11q",0,0,0,0
"12q",0,0,0,3.25
"13q",0,0,0,0
"14q",87.42,0,0,0
"15q",0,0,0,0
"16q",0,0,0,12.68
"17q",0,0,0,7
"18q",0,0,0,0
"19q",0,0,0,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
