File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18012182.OSCHP	16.0	Gain	7	p11.2	1299.496	282	12	SEC61G, LOC100996654, EGFR, EGFR-AS1, ELDR, LANCL2, VOPP1, FKBP9P1, SEPT14, ZNF713, MRPS17, NIPSNAP2	8	SEC61G (609215), EGFR (131550), LANCL2 (612919), VOPP1 (611915), SEPT14 (612140), ZNF713 (616181), MRPS17 (611980), NIPSNAP2 (603004)	Cytoregions Not Set				false	arr[hg19] 7p11.2(54,767,520-56,067,016)x16	chr7:54767520-56067016
H18012182.OSCHP	4.0	Gain	3	p21.1	368.292	25	1	CACNA2D3	1	CACNA2D3 (606399)	Cytoregions Not Set				false	arr[hg19] 3p21.1p14.3(54,033,785-54,402,077)x4	chr3:54033785-54402077
H18012182.OSCHP	4.0	Gain	X	p11.23	875.086	57	49	CCDC120, PRAF2, WDR45, GPKOW, MAGIX, PLP2, PRICKLE3, SYP, SYP-AS1, CACNA1F, CCDC22, FOXP3, FLICR, PPP1R3F, GAGE10, GAGE12J, GAGE2E, GAGE13, GAGE8, GAGE2D, GAGE2A, GAGE2C, GAGE4, GAGE5, GAGE12I, GAGE7, GAGE2B, GAGE12F, GAGE12D, GAGE12H, GAGE12G, GAGE12E, GAGE12C, GAGE12B, GAGE6, GAGE1, PAGE1, PAGE4, USP27X-AS1, USP27X, CLCN5, MIR532, MIR188, MIR500A, MIR362, MIR501, MIR500B, MIR660, MIR502	35	CCDC120 (300947), PRAF2 (300840), WDR45 (300526), PLP2 (300112), PRICKLE3 (300111), SYP (313475), CACNA1F (300110), CCDC22 (300859), FOXP3 (300292), GAGE10 (300737), GAGE12J (300733), GAGE2E (300736), GAGE13 (300734), GAGE8 (300638), GAGE2D (300735), GAGE2A (300720), GAGE2C (300595), GAGE4 (300597), GAGE5 (300598), GAGE7 (300601), GAGE2B (300726), GAGE12H (300732), GAGE12F (300730), GAGE12D (300728), GAGE12C (300727), GAGE12E (300729), GAGE12G (300731), GAGE6 (300599), GAGE12I (300637), GAGE1 (300594), PAGE1 (300288), PAGE4 (300287), USP27X (300975), CLCN5 (300008), MIR502 (300893)	Cytoregions Not Set				false	arr[hg19] Xp11.23(48,907,956-49,783,042)x4	chrX:48907956-49783042
H18012182.OSCHP	4.0	Gain	20	q13.33	591.731	64	29	CHRNA4, LOC100130587, KCNQ2, EEF1A2, PPDPF, PTK6, SRMS, FNDC11, HELZ2, GMEB2, MHENCR, STMN3, RTEL1, RTEL1-TNFRSF6B, TNFRSF6B, ARFRP1, ZGPAT, LIME1, SLC2A4RG, ZBTB46, ZBTB46-AS1, ABHD16B, TPD52L2, DNAJC5, MIR941-1, MIR941-5, MIR941-4, MIR941-3, MIR941-2	15	CHRNA4 (118504), KCNQ2 (602235), EEF1A2 (602959), PTK6 (602004), HELZ2 (611265), GMEB2 (607451), STMN3 (608362), RTEL1 (608833), TNFRSF6B (603361), ARFRP1 (604699), LIME1 (609809), SLC2A4RG (609493), ZBTB46 (614639), TPD52L2 (603747), DNAJC5 (611203)	Cytoregions Not Set				false	arr[hg19] 20q13.33(61,977,555-62,569,286)x4	chr20:61977555-62569286
H18012182.OSCHP	4.0	Gain	5	q12.1	307.0	20	3	IPO11, LRRC70, IPO11-LRRC70	1	IPO11 (610889)	Cytoregions Not Set				false	arr[hg19] 5q12.1(61,719,505-62,026,505)x4	chr5:61719505-62026505
H18012182.OSCHP	4.0	Gain	14	q32.33	294.387	26	8	LINC00638, CEP170B, PLD4, AHNAK2, CLBA1, CDCA4, GPR132, LINC02298	3	AHNAK2 (608570), CDCA4 (612270), GPR132 (606167)	Cytoregions Not Set				false	arr[hg19] 14q32.33(105,278,362-105,572,749)x4	chr14:105278362-105572749
H18012182.OSCHP	4.0	Gain	19	q11	942.807	56	2	LINC00662, LOC101927151	0		Cytoregions Not Set				false	arr[hg19] 19q11q12(27,754,572-28,697,379)x4	chr19:27754572-28697379
H18012182.OSCHP	4.0	Gain	X	q26.3	980.8	62	27	LINC02243, SMIM10, RTL8B, RTL8C, RTL8A, SMIM10L2B, ETDB, SMIM10L2B-AS1, CT55, ZNF75D, ETDA, ZNF449, LOC100506790, SMIM10L2A, DDX26B-AS1, INTS6L, SAGE2P, CT45A1, CT45A7, CT45A6, CT45A2, CT45A8, CT45A5, CT45A9, CT45A3, CT45A10, SAGE1	9	RTL8C (300213), ZNF75D (314997), ZNF449 (300627), CT45A1 (300648), CT45A6 (300797), CT45A2 (300793), CT45A5 (300796), CT45A3 (300794), SAGE1 (300359)	Cytoregions Not Set				false	arr[hg19] Xq26.3(134,053,712-135,034,512)x4	chrX:134053712-135034512
H18012182.OSCHP	4.0	Gain	3	p21.31	348.112	26	3	MAP4, CDC25A, MIR4443	2	MAP4 (157132), CDC25A (116947)	Cytoregions Not Set				false	arr[hg19] 3p21.31(47,915,117-48,263,229)x4	chr3:47915117-48263229
H18012182.OSCHP	4.0	Gain	4	q28.2	290.418	20	3	MFSD8, ABHD18, LARP1B	1	MFSD8 (611124)	Cytoregions Not Set				false	arr[hg19] 4q28.2(128,858,660-129,149,078)x4	chr4:128858660-129149078
