"","GAIN","AMPLI","LOSS","LOH"
"1p",100,0,0,0
"2p",100,0,0,0
"3p",0.27,0,1.61,0
"4p",99.89,0,0,0
"5p",99.76,0,0,0
"6p",99.24,0,0,0
"7p",99.97,0,0,0
"8p",99.56,0,0,0
"9p",99.38,0,0,0
"10p",100,0,0,0
"11p",99.93,0,0,0
"12p",99.65,0,0,0
"16p",94.04,0,0,11.64
"17p",100,0,0,0
"18p",100,0,0,0
"19p",96.38,0,0,0
"20p",98.85,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",99.2,0,0,12.34
"1q",99.97,0,0,0
"2q",100,0,0,1.82
"3q",0.09,0,0.27,0
"4q",98.15,0,0,0
"5q",98.12,0,0,0
"6q",99.73,0,0,0
"7q",98.96,0,0,0
"8q",97.39,0,2.5,0
"9q",99.58,0,0,0
"10q",98.33,0,0,0
"11q",99.33,0,0,0
"12q",99.59,0,0,0
"13q",99.31,0,0,0
"14q",98.2,0,0.15,0
"15q",0.46,0,0.39,3.48
"16q",99.15,0,0,0
"17q",99.44,0,0,0
"18q",99.75,0,0,0
"19q",99.81,0,0,0
"20q",100,0,0,0
"21q",0.64,0,2.45,0
"22q",1.08,0,0.12,0
"Yq",0,0,0,0
"Xq",100,0,0,13.23
