"","GAIN","AMPLI","LOSS","LOH"
"1p",3.54,0,7.43,6.82
"2p",0.29,0,3.9,8.91
"3p",20.43,0,2.1,5.67
"4p",3.44,0,0,0
"5p",0,0,0,0
"6p",1.17,0,3.92,0
"7p",0,0,0.19,5.48
"8p",4.25,0,4.45,0
"9p",0,0,20.58,64.25
"10p",0,0,20.12,0
"11p",0,0,0.2,6.86
"12p",5.64,0,9.51,0
"16p",22.07,0,0.2,22.7
"17p",0,0,69.82,0
"18p",17.52,0,26.73,0
"19p",4.19,0,1.91,0
"20p",1.07,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0.61,0,0,0
"1q",1.03,0,11.57,8.47
"2q",1.86,0,6.02,0
"3q",0.7,0,0.26,8.13
"4q",0,0,0.21,2.27
"5q",0.67,0,1.42,7.01
"6q",0,0,2.35,2.37
"7q",0.14,0,2.74,4.37
"8q",4.21,0,0.03,8.97
"9q",6.08,0,0,4.38
"10q",0.91,0,9.68,0
"11q",0.36,0,17.3,0
"12q",8.5,0,5.12,0
"13q",0.42,0,16.13,0
"14q",0,0,1.12,3.4
"15q",1.03,0,9.9,4.86
"16q",0,0,0.58,0
"17q",5.33,0,0.35,0
"18q",1.53,0,3.7,0
"19q",7.08,0,49.78,0
"20q",0.8,0,11.6,0
"21q",4.81,0,2.08,0
"22q",17.95,0,10.67,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
