"","GAIN","AMPLI","LOSS","LOH"
"1p",28.89,0,11.09,0
"2p",27.22,0,0,0
"3p",0,0,0,0
"4p",92.39,0,7.02,0
"5p",1.09,0,0,0
"6p",0,0,0,5.58
"7p",0,0,0,0
"8p",0,0,99.66,0
"9p",0,0,95.1,0
"10p",47.77,0,0,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,17.09
"17p",99.89,0,0,42.33
"18p",0,0,0,0
"19p",0,0,1.73,0
"20p",0,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,2.79
"2q",0,0,0,0
"3q",4.31,0,0,0
"4q",76.92,0,11.43,0
"5q",0,0,0,0
"6q",0,0,0,4.75
"7q",30.93,0,0,0
"8q",0,0,100,0
"9q",85.87,0,0,0
"10q",81.22,0,18.74,0
"11q",0,0,0,0
"12q",24.3,0,0,0
"13q",0,0,3.05,2.82
"14q",0.98,0,0,0
"15q",1.39,0,0,3.04
"16q",0.87,0,0,0
"17q",8.96,0,9.9,5.85
"18q",4.43,0,0,0
"19q",0,0,24.63,0
"20q",13.98,0,0,0
"21q",37.12,0,62.84,0
"22q",2.99,0,0,0
"Yq",0,0,0,0
"Xq",0.26,0,0,0
