"","GAIN","AMPLI","LOSS","LOH"
"1p",1.53,0,97.28,0
"2p",0,0,42.95,0
"3p",5,0,48.91,0
"4p",0,0,100,0
"5p",0,0,0,0
"6p",1.47,0,0.6,0
"7p",0,0,100,0
"8p",18.76,0,80.86,63.37
"9p",0,0,0,0
"10p",0,0,0,0
"11p",47.71,0,0.75,18.83
"12p",0,0,29.91,0
"16p",9.47,0,0,12.41
"17p",0,0,100,0
"18p",9.15,0,45.04,0
"19p",0,0,51.14,0
"20p",0,0,54.45,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",0,0,0,99.81
"1q",3.38,0,55.55,0
"2q",0,0,47.94,0
"3q",0,0,21.79,0
"4q",0,0,99.92,0
"5q",0,0,36.47,0
"6q",0,0,0,0
"7q",0,0,44.09,0
"8q",100,0,0,48.3
"9q",9.61,0,0.37,0
"10q",0,0,84.95,0
"11q",0,0,100,0
"12q",3.57,0,69.7,0
"13q",58.53,0,0,8.24
"14q",1.52,0,0.41,0
"15q",0,0,0,0
"16q",9.4,0,0,5.94
"17q",0,0,99.96,0
"18q",1.05,0,46.14,0
"19q",0,0,67.71,0
"20q",99.81,0,0,0
"21q",0,0,100,0
"22q",0,0,76.3,0
"Yq",0,0,0,0
"Xq",0,0,0,100
