"","GAIN","AMPLI","LOSS","LOH"
"1p",5.45,0,31.23,0
"2p",0,0,0,4.12
"3p",0,0,0,0
"4p",6.8,0,0,0
"5p",0,0,0,0
"6p",0,0,0,0
"7p",0,0,0,0
"8p",0,0,0,0
"9p",0,0,25.08,0
"10p",51.03,0,0,0
"11p",0,0,0,7.86
"12p",98.86,0,0,0
"16p",92.54,0,0,11.54
"17p",0,0,31.34,0
"18p",0,0,21.31,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,3.17
"2q",0,0,2.45,0
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,3.03,2.85
"6q",0,0,12.81,0
"7q",7.13,0,4.06,16.69
"8q",13.55,0,0,0
"9q",0,0,0,0
"10q",0,0,8.56,0
"11q",0,0,0,3.85
"12q",99.44,0,0,0
"13q",0,0,9.97,0
"14q",0,0,0,0
"15q",0,0,0,5.26
"16q",0,0,0,0
"17q",0,0,0,9.98
"18q",0,0,0,0
"19q",0,0,62.68,0
"20q",17.82,0,12.24,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",34.44,0,0,3.84
