"","GAIN","AMPLI","LOSS","LOH"
"1p",1.53,0,97.28,0
"2p",0,0,84.05,0
"3p",12.6,0,69.26,0
"4p",0,0,100,0
"5p",0,0,0,0
"6p",1.47,0,0.6,0
"7p",0,0,100,0
"8p",18.76,0,80.86,63.37
"9p",0,0,0,0
"10p",0,0,0,0
"11p",98.34,0,0.75,18.83
"12p",0,0,29.91,0
"16p",13.69,0,0,12.41
"17p",0,0,100,0
"18p",9.15,0,89.98,0
"19p",0,0,98.28,0
"20p",0,0,99.88,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",0,0,0,99.81
"1q",3.38,0,55.55,0
"2q",0,0,99.95,0
"3q",0,0,21.79,0
"4q",0,0,99.92,0
"5q",0,0,36.47,0
"6q",0,0,0,0
"7q",0,0,96.81,0
"8q",100,0,0,98.18
"9q",20.29,0,0.37,0
"10q",0,0,84.95,0
"11q",0,0,100,0
"12q",4.89,0,86.49,0
"13q",99.94,0,0,8.24
"14q",1.93,0,0.81,0
"15q",0,0,0,0
"16q",9.78,0,0,5.94
"17q",0,0,99.99,0
"18q",1.95,0,97.86,0
"19q",0,0,98.08,0
"20q",99.81,0,0,0
"21q",0,0,100,0
"22q",0,0,99.87,0
"Yq",0,0,0,0
"Xq",0,0,0,100
