"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,14.07
"2p",0,0,0,3.63
"3p",0,0,100,0
"4p",0,0,80.11,11.75
"5p",0,0,0,0
"6p",0.55,0,4.08,0
"7p",0,0,0,0
"8p",7.32,0,90.18,0
"9p",5.81,0,25.5,0
"10p",0,0,19.52,0
"11p",0,0,20.01,6.88
"12p",0,0,0,0
"16p",0,0,0,10.55
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,99.93,0
"Xp",4.32,0,0,0
"1q",0,0,73.65,0
"2q",0,0,20.72,11.56
"3q",77.96,0,22.02,0
"4q",0,0,2.57,3.5
"5q",0,0,99.91,0
"6q",0.91,0,76.63,0
"7q",0.72,0,0,0
"8q",4.22,0,0,2.81
"9q",64.48,0,22.9,0
"10q",0,0,100,0
"11q",0,0,0,0
"12q",0,0,0,0
"13q",0,0,44.9,0
"14q",98.92,0,0,0
"15q",99.79,0,0,0
"16q",0,0,0,0
"17q",0,0,3.19,0
"18q",8.58,0,79.34,0
"19q",21.89,0,73.98,0
"20q",0,0,1.45,0
"21q",0,0,100,0
"22q",0.92,0,0,0
"Yq",0,0,100,0
"Xq",0,0,0,0
