"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,18.08
"2p",100,0,0,0
"3p",19.06,0,0,6.84
"4p",0,0,0,22.26
"5p",99.64,0,0,0
"6p",0,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0,0,0,8.8
"10p",0,0,0,8.85
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,22.92
"17p",0,0,72.04,14.61
"18p",0,0,0,0
"19p",85.06,0,0,0
"20p",97.76,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",92.72,0,0,0
"2q",100,0,0,0
"3q",12.71,0,0,0
"4q",0,0,0,12.4
"5q",0,0,0,0
"6q",0,0,36.28,0
"7q",100,0,0,0
"8q",0,0,0,0
"9q",0,0,0,86.92
"10q",22.86,0,0,3.47
"11q",0,0,0,4.35
"12q",0,0,0,0
"13q",96.62,0,0,4.22
"14q",0,0,0,7.44
"15q",0,0,0,56.27
"16q",0,0,0,10.75
"17q",48.31,0,0,0
"18q",0,0,0,0
"19q",91.69,0,0,0
"20q",90.53,0,0,0
"21q",93.64,0,0,0
"22q",93.82,0,0,0
"Yq",0,0,0,0
"Xq",23.61,0,0,0
