"","GAIN","AMPLI","LOSS","LOH"
"1p",0.31,0,0.25,0
"2p",0,0,0,0
"3p",2.5,0,0,3.67
"4p",0,0,0,5.21
"5p",0,0,0,0
"6p",0,0,0,0
"7p",96.85,0,0,0
"8p",99.66,0,0,0
"9p",100,0,0,0
"10p",0,0,0,0
"11p",0,0,4.67,100
"12p",61.12,0,0,0
"16p",92.42,0,0,0
"17p",100,0,0,0
"18p",100,0,0,0
"19p",100,0,0,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,4.3,0
"1q",0,0,0,0
"2q",0,0,0,0
"3q",0,0,0,0
"4q",0,0,0.25,0
"5q",0,0,6.27,0
"6q",0,0,0,0
"7q",100,0,0,2.76
"8q",100,0,0,0
"9q",99.98,0,0,0
"10q",0,0,0,0
"11q",0,0,1.11,100
"12q",100,0,0,0
"13q",100,0,0,0
"14q",0,0,0,0
"15q",0,0,0,0
"16q",100,0,0,0
"17q",100,0,0,0
"18q",99.99,0,0,0
"19q",100,0,0,0
"20q",100,0,0,0
"21q",1.04,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
