"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,20.84,5.78
"2p",100,0,0,0
"3p",40.92,0,0,6.84
"4p",0,0,0,100
"5p",99.9,0,0,0
"6p",36.21,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0,0,0,82.95
"10p",71.58,0,0,8.71
"11p",0,0,0,100
"12p",0,0,0,0
"16p",0,0,0,20.69
"17p",15.23,0,62.59,0
"18p",0,0,0,0
"19p",25.66,0,0,0
"20p",29.85,0,0,0
"21p",0,0,0,0
"Yp",0,0,99.93,0
"Xp",0,0,0,0
"1q",100,0,0,0
"2q",68.07,0,0,0
"3q",100,0,0,0
"4q",0,0,0,44.98
"5q",0,0,0,0
"6q",0,0,40.12,0
"7q",100,0,0,0
"8q",0,0,0,0
"9q",0,0,0,47.67
"10q",100,0,0,3.32
"11q",0,0,0,100
"12q",0,0,0,0
"13q",59.06,0,0,15.33
"14q",0,0,0,40.38
"15q",0,0,0,96.65
"16q",7.64,0,0,41.63
"17q",58.87,0,0,0
"18q",0,0,0,0
"19q",100,0,0,0
"20q",100,0,0,0
"21q",46.16,0,0,0
"22q",24.5,0,0,0
"Yq",0,0,100,0
"Xq",0,0,0,0
